run_id,terrain,phase,kind,samples,correct_rate,switches,raw_mean,firing_count,oracle_positive_count
walking_C_02,marble,AIR,slip,2720,,,55.41544117647059,1844,0
walking_C_02,marble,TOUCHDOWN,slip,135,,,-23.11111111111111,48,131
walking_C_02,marble,LOADING,slip,65,,,63.246153846153845,47,65
walking_C_02,marble,MID_STANCE,slip,57,,,67.57894736842105,37,57
walking_C_02,marble,PUSH_OFF,slip,23,,,25.130434782608695,13,23
walking_D_00,marble,AIR,slip,2444,,,47.273322422258595,1497,0
walking_D_00,marble,TOUCHDOWN,slip,90,,,68.88888888888889,63,85
walking_D_00,marble,LOADING,slip,95,,,59.96842105263158,70,87
walking_D_00,marble,MID_STANCE,slip,331,,,114.6737160120846,315,178
walking_D_00,marble,PUSH_OFF,slip,40,,,5.375,20,30
walking_D_01,marble,AIR,slip,2444,,,47.273322422258595,1497,0
walking_D_01,marble,TOUCHDOWN,slip,90,,,68.88888888888889,63,85
walking_D_01,marble,LOADING,slip,95,,,59.96842105263158,70,87
walking_D_01,marble,MID_STANCE,slip,331,,,114.6737160120846,315,178
walking_D_01,marble,PUSH_OFF,slip,40,,,5.375,20,30
walking_D_02,marble,AIR,slip,2444,,,47.273322422258595,1497,0
walking_D_02,marble,TOUCHDOWN,slip,90,,,68.88888888888889,63,85
walking_D_02,marble,LOADING,slip,95,,,59.96842105263158,70,87
walking_D_02,marble,MID_STANCE,slip,331,,,114.6737160120846,315,178
walking_D_02,marble,PUSH_OFF,slip,40,,,5.375,20,30
