row_type,candidate,architecture,feature_count,sensor_channels,train_rows,validation_rows,threshold_train_zero_fp,validation_auroc,validation_auprc,zero_fp_recall,valid_positive_foot_runs,detected_positive_foot_runs,coverage_fraction,normal_fp_runs,ice_cross_hazard_fp_runs,too_early_firings,invalid_firings,air_firings,touchdown_firings,post_fall_firings,median_pre_onset_risk_margin_ms,parameter_count,state_memory_bytes,history_memory_bytes,memory_bytes,macs,latency_ms,estimated_e84_latency_ms,expected_vela_compatibility,future_sample_count,hazard,run_id,profile_name,role,speed_mps,foot,positive_run,detected,any_firing,first_physical_onset_sample,first_detected_sample,pre_onset_risk_margin_ms,max_score,threshold
profile_speed_foot,C1,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p20_v04,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.2,left,False,False,False,,,,0.03872928418477637,0.9999806222829456
profile_speed_foot,C1,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p20_v04,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.2,right,False,False,False,,,,0.09159839122588041,0.9999806222829456
profile_speed_foot,C1,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p20_v04,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.2,left,False,False,False,,,,0.03895646808269344,0.9999806222829456
profile_speed_foot,C1,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p20_v04,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.2,right,False,False,False,,,,0.07800604818019925,0.9999806222829456
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p10_v03,marble,hard_negative,0.1,left,False,False,False,,,,0.249014459358162,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p10_v03,marble,hard_negative,0.1,right,False,False,False,,,,0.8289236245191667,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p10_v03,concrete,hard_negative,0.1,left,False,False,False,,,,0.2266348344734229,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p10_v03,concrete,hard_negative,0.1,right,False,False,False,,,,0.7770205628113299,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,hard_negative,0.1,left,False,False,False,,,,0.2291768101686805,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,hard_negative,0.1,right,False,False,False,,,,0.3823220814919178,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p10_v03,ice,slip_candidate,0.1,left,True,False,False,289,,,0.999987843172965,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p10_v03,ice,slip_candidate,0.1,right,True,False,False,949,,,0.9995881339768808,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p10_v03,sand_solref_interpolation_1of3,sink_candidate,0.1,left,False,False,False,,,,0.04486149298136624,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p10_v03,sand_solref_interpolation_1of3,sink_candidate,0.1,right,False,False,False,,,,0.10773029932972433,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p10_v03,sand_solref_interpolation_2of3,sink_candidate,0.1,left,False,False,False,,,,0.01327616429809906,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p10_v03,sand_solref_interpolation_2of3,sink_candidate,0.1,right,False,False,False,,,,0.050473153253483644,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,left,False,False,False,,,,0.01500144580827993,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,right,False,False,False,,,,0.04360784521782259,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,left,False,False,False,,,,0.014480896378763724,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,right,False,False,False,,,,0.029486964060877092,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p15_v03,marble,hard_negative,0.15,left,False,False,False,,,,0.2523721094685158,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p15_v03,marble,hard_negative,0.15,right,False,False,False,,,,0.819358266739231,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p15_v03,concrete,hard_negative,0.15,left,False,False,False,,,,0.18004496382652416,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p15_v03,concrete,hard_negative,0.15,right,False,False,False,,,,0.7392033575589855,0.9999993264957171
profile_speed_foot,C2,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p15_v03,sand_walking_support_v1_hardened,hard_negative,0.15,left,False,False,False,,,,0.20344060890380936,0.9999993264957171
