candidate_id,config_id,confidence_threshold,dwell_endpoints,minimum_contact_age_ms,terrain_accuracy,terrain_macro_f1,event_count,event_detected,event_recall,run_count,run_detected,run_recall,output_count,precision,f1,detected_within_20ms,recall_within_20ms,median_latency_ms,p95_latency_ms,normal_run_fp,normal_run_count,normal_run_fp_rate,normal_contact_fp,normal_contact_count,normal_contact_fp_rate,too_early,wrong_case_output,post_fall_output,invalid_output,duplicate_output,latch_carryover,cross_foot_output,per_speed_recall_within_20ms,per_hard_source_recall_within_20ms,grouped_variation_fold_count,independent_source_family_count,direct_gate_pass
LOCKED_T2_BASELINE,p0.90_d2_a5,0.9,2,5,0.5008432063187106,0.472446559139334,67,15,0.22388059701492538,59,15,0.2542372881355932,193,0.07772020725388601,0.11538461538461538,0,0.0,269.0,895.0,137,360,0.38055555555555554,178,8243,0.021594079825306322,0,164,46,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.90_d2_a10,0.9,2,10,0.5008432063187106,0.472446559139334,67,14,0.208955223880597,59,14,0.23728813559322035,192,0.07291666666666667,0.1081081081081081,0,0.0,269.0,896.0,135,360,0.375,178,8243,0.021594079825306322,0,163,44,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.90_d3_a5,0.9,3,5,0.5008432063187106,0.472446559139334,67,9,0.13432835820895522,59,9,0.15254237288135594,160,0.05625,0.07929515418502203,0,0.0,269.0,585.8,115,360,0.3194444444444444,151,8243,0.018318573334950867,0,133,41,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.90_d3_a10,0.9,3,10,0.5008432063187106,0.472446559139334,67,11,0.16417910447761194,59,10,0.1694915254237288,171,0.06432748538011696,0.09243697478991596,0,0.0,269.0,891.0,115,360,0.3194444444444444,160,8243,0.019410408831736017,0,140,41,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.50_d1_a5,0.5,1,5,0.5649268865407194,0.555590077076052,67,31,0.4626865671641791,59,29,0.4915254237288136,396,0.07828282828282829,0.13390928725701945,0,0.0,169.0,846.0,152,360,0.4222222222222222,365,8243,0.04427999514739779,12,296,45,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.50_d1_a10,0.5,1,10,0.5649268865407194,0.555590077076052,67,32,0.47761194029850745,59,30,0.5084745762711864,388,0.08247422680412371,0.14065934065934066,0,0.0,169.0,833.2999999999998,151,360,0.41944444444444445,356,8243,0.043188159650612644,12,292,41,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.50_d2_a5,0.5,2,5,0.5649268865407194,0.555590077076052,67,25,0.373134328358209,59,23,0.3898305084745763,240,0.10416666666666667,0.16286644951140064,0,0.0,149.0,921.7999999999992,115,360,0.3194444444444444,215,8243,0.026082736867645274,5,179,31,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.50_d2_a10,0.5,2,10,0.5649268865407194,0.555590077076052,67,26,0.3880597014925373,59,24,0.4067796610169492,232,0.11206896551724138,0.1739130434782609,0,0.0,157.5,906.5,107,360,0.2972222222222222,206,8243,0.024990901370860123,5,169,29,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.50_d3_a5,0.5,3,5,0.5649268865407194,0.555590077076052,67,17,0.2537313432835821,59,17,0.288135593220339,179,0.09497206703910614,0.1382113821138211,0,0.0,219.0,582.5999999999999,93,360,0.25833333333333336,162,8243,0.01965303894213272,2,133,23,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.50_d3_a10,0.5,3,10,0.5649268865407194,0.555590077076052,67,16,0.23880597014925373,59,16,0.2711864406779661,165,0.09696969696969697,0.13793103448275865,0,0.0,209.0,563.75,88,360,0.24444444444444444,149,8243,0.018075943224554167,2,120,21,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.65_d1_a5,0.65,1,5,0.5649268865407194,0.555590077076052,67,18,0.26865671641791045,59,18,0.3050847457627119,225,0.08,0.12328767123287672,0,0.0,444.0,973.15,119,360,0.33055555555555555,207,8243,0.025112216426058473,2,181,39,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.65_d1_a10,0.65,1,10,0.5649268865407194,0.555590077076052,67,17,0.2537313432835821,59,17,0.288135593220339,218,0.0779816513761468,0.11929824561403508,0,0.0,369.0,973.2,113,360,0.3138888888888889,201,8243,0.024384326094868375,2,173,38,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.65_d2_a5,0.65,2,5,0.5649268865407194,0.555590077076052,67,13,0.19402985074626866,59,13,0.22033898305084745,133,0.09774436090225563,0.13,0,0.0,549.0,983.4,77,360,0.21388888888888888,120,8243,0.014557806623802013,0,108,23,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
T1_LINEAR_200,p0.65_d2_a10,0.65,2,10,0.5649268865407194,0.555590077076052,67,13,0.19402985074626866,59,13,0.22033898305084745,126,0.10317460317460317,0.13471502590673576,0,0.0,549.0,983.4,70,360,0.19444444444444445,113,8243,0.013708601237413564,0,101,22,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
