run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,pair_042,positive,0.15,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,pair_043,positive,0.15,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,pair_044,positive,0.15,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_045,positive,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_046,positive,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_047,positive,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_late_stance_native_strong_ice_v0,pair_048,positive,0.15,left,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_late_stance_native_strong_ice_v1,pair_049,positive,0.15,left,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_late_stance_native_strong_ice_v2,pair_050,positive,0.15,left,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,pair_051,positive,0.15,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,pair_052,positive,0.15,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,pair_053,positive,0.15,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_early_loading_native_strong_ice_v0,pair_054,positive,0.15,right,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_early_loading_native_strong_ice_v1,pair_055,positive,0.15,right,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_early_loading_native_strong_ice_v2,pair_056,positive,0.15,right,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_early_loading_moderate_ice_preregistered_v0,pair_057,positive,0.15,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_early_loading_moderate_ice_preregistered_v1,pair_058,positive,0.15,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_early_loading_moderate_ice_preregistered_v2,pair_059,positive,0.15,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,pair_060,positive,0.15,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,pair_061,positive,0.15,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v2,pair_062,positive,0.15,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_063,positive,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_064,positive,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_065,positive,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_late_stance_native_strong_ice_v0,pair_066,positive,0.15,right,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_late_stance_native_strong_ice_v1,pair_067,positive,0.15,right,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_late_stance_native_strong_ice_v2,pair_068,positive,0.15,right,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,pair_069,positive,0.15,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,pair_070,positive,0.15,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,pair_071,positive,0.15,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_early_loading_native_strong_ice_v0,pair_072,positive,0.2,left,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_early_loading_native_strong_ice_v1,pair_073,positive,0.2,left,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_early_loading_native_strong_ice_v2,pair_074,positive,0.2,left,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_early_loading_moderate_ice_preregistered_v0,pair_075,positive,0.2,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_early_loading_moderate_ice_preregistered_v1,pair_076,positive,0.2,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_early_loading_moderate_ice_preregistered_v2,pair_077,positive,0.2,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v0,pair_078,positive,0.2,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1,pair_079,positive,0.2,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v2,pair_080,positive,0.2,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_081,positive,0.2,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_082,positive,0.2,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_083,positive,0.2,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_late_stance_native_strong_ice_v0,pair_084,positive,0.2,left,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_late_stance_native_strong_ice_v1,pair_085,positive,0.2,left,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_late_stance_native_strong_ice_v2,pair_086,positive,0.2,left,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v0,pair_087,positive,0.2,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v1,pair_088,positive,0.2,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v2,pair_089,positive,0.2,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p20_right_early_loading_native_strong_ice_v0,pair_090,positive,0.2,right,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
