run_id,pair_id,pair_index,role,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,patch,pair_fingerprint,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,patch_contact_application_count,finite_fusion20,full_trace_sha256,discarded,replaced,silently_relabelled
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_010,10,positive,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,0.41,0.04,0.0,202608310,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",19be553b16f8b080a1e91bd2a1a605bb2aaac8343b314d9e73bd674dc69c539b,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,10038,True,5e35c7b087813d0c9e7aadc84796855240ca7913893fd93edd0521ad52c78d12,False,False,False
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_010,10,control,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608310,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",19be553b16f8b080a1e91bd2a1a605bb2aaac8343b314d9e73bd674dc69c539b,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,10038,True,5e35c7b087813d0c9e7aadc84796855240ca7913893fd93edd0521ad52c78d12,False,False,False
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_011,11,positive,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,0.83,0.08,0.004,202608311,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",8f1acd5ca65224c87ae7c5522ec716948c812a1643c9842dd31fd4d1290d3fee,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,10482,True,2cff7559536f548e8d98efdc978c8d512e939871e587d07f64f5939b29845c66,False,False,False
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_011,11,control,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,hard_normal,2,0.83,0.08,0.004,202608311,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",8f1acd5ca65224c87ae7c5522ec716948c812a1643c9842dd31fd4d1290d3fee,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,10482,True,2cff7559536f548e8d98efdc978c8d512e939871e587d07f64f5939b29845c66,False,False,False
positive_0p10_left_mid_late_stance_native_strong_ice_v0,pair_012,12,positive,0.1,left,mid_late_stance,native_strong_ice,native_strong_ice,hard_normal,0,0.07,0.0,-0.004,202608312,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",421a98fa22341bee67713f33d5e0ebb4c867dfb36c44deec26c3f8d6339863e7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,4315,True,1dc970a42785346a763322c0b444e81cee394cbc402b3a6ddfec6c79c390b4b0,False,False,False
control_0p10_left_mid_late_stance_native_strong_ice_v0,pair_012,12,control,0.1,left,mid_late_stance,native_strong_ice,hard_normal,hard_normal,0,0.07,0.0,-0.004,202608312,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",421a98fa22341bee67713f33d5e0ebb4c867dfb36c44deec26c3f8d6339863e7,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,4315,True,1dc970a42785346a763322c0b444e81cee394cbc402b3a6ddfec6c79c390b4b0,False,False,False
positive_0p10_left_mid_late_stance_native_strong_ice_v1,pair_013,13,positive,0.1,left,mid_late_stance,native_strong_ice,native_strong_ice,near_slip_non_event,1,0.41,0.04,0.0,202608313,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",a447c6082b1f1f350340c4842f49b9aee81f610032c7db7d12b96a915c028602,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,5271,True,d15fa625f247426cda3c6a17504910d006f6854d4a857576f8b747c6ba600e24,False,False,False
control_0p10_left_mid_late_stance_native_strong_ice_v1,pair_013,13,control,0.1,left,mid_late_stance,native_strong_ice,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608313,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",a447c6082b1f1f350340c4842f49b9aee81f610032c7db7d12b96a915c028602,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,5271,True,d15fa625f247426cda3c6a17504910d006f6854d4a857576f8b747c6ba600e24,False,False,False
positive_0p10_left_mid_late_stance_native_strong_ice_v2,pair_014,14,positive,0.1,left,mid_late_stance,native_strong_ice,native_strong_ice,hard_normal,2,0.83,0.08,0.004,202608314,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",88a231693c5be5f9677414c63b7fe38b09260706e40d2555130c88407a91c28c,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,5678,True,dee9b04c3862a773368c99cdef1533bff201c95fc454fb76c67f389df8da45a9,False,False,False
control_0p10_left_mid_late_stance_native_strong_ice_v2,pair_014,14,control,0.1,left,mid_late_stance,native_strong_ice,hard_normal,hard_normal,2,0.83,0.08,0.004,202608314,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",88a231693c5be5f9677414c63b7fe38b09260706e40d2555130c88407a91c28c,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,5678,True,dee9b04c3862a773368c99cdef1533bff201c95fc454fb76c67f389df8da45a9,False,False,False
