run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source
control_0p15_right_early_loading_native_strong_ice_v1,pair_055,control,0.15,right,early_loading,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_early_loading_native_strong_ice_v2,pair_056,control,0.15,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_early_loading_moderate_ice_preregistered_v0,pair_057,control,0.15,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_early_loading_moderate_ice_preregistered_v1,pair_058,control,0.15,right,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_early_loading_moderate_ice_preregistered_v2,pair_059,control,0.15,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,pair_060,control,0.15,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v1,pair_061,control,0.15,right,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v2,pair_062,control,0.15,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_063,control,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_064,control,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_065,control,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_late_stance_native_strong_ice_v0,pair_066,control,0.15,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_late_stance_native_strong_ice_v1,pair_067,control,0.15,right,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_late_stance_native_strong_ice_v2,pair_068,control,0.15,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,pair_069,control,0.15,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,pair_070,control,0.15,right,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,pair_071,control,0.15,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_early_loading_native_strong_ice_v0,pair_072,control,0.2,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_early_loading_native_strong_ice_v1,pair_073,control,0.2,left,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_early_loading_native_strong_ice_v2,pair_074,control,0.2,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_early_loading_moderate_ice_preregistered_v0,pair_075,control,0.2,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_early_loading_moderate_ice_preregistered_v1,pair_076,control,0.2,left,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p20_left_early_loading_moderate_ice_preregistered_v2,pair_077,control,0.2,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
