pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,initial_policy_observation_equal,command_timing_equal,gait_phase_equal,target_touchdown_equal,speed_equal,patch_geometry_equal,seed_equal,duration_equal,timestamps_equal,non_material_configuration_equal,only_material_profile_differs,parity_pass
pair_050,positive_0p15_left_mid_late_stance_native_strong_ice_v2,control_0p15_left_mid_late_stance_native_strong_ice_v2,772f7f2bb770a4204cecb6c89b4d64bcf3a8c33b74ededaad1d6f699fe019bb0,0.15,left,mid_late_stance,native_strong_ice,hard_normal,2,202608350,True,True,True,True,True,True,True,True,True,True,True,True
pair_051,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,4cdf14cd662a18c3eb0bc3de6d51a13614e79c8c8b2969cfa3b53f37fa54edd7,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,0,202608351,True,True,True,True,True,True,True,True,True,True,True,True
pair_052,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,b205cfcdecdc77348cc1096f52653886f1631386e0f471e55896e4e307c0d511,0.15,left,mid_late_stance,moderate_ice_preregistered,hard_normal,1,202608352,True,True,True,True,True,True,True,True,True,True,True,True
pair_053,positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,control_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,2a5629da2ecac7edc54fb253cca43eb184bc1d770c6ad65f950f619bd65bd564,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,2,202608353,True,True,True,True,True,True,True,True,True,True,True,True
pair_054,positive_0p15_right_early_loading_native_strong_ice_v0,control_0p15_right_early_loading_native_strong_ice_v0,3622d9060c2fc7032f9892408c938bafe2bdb317164fd5f37032eba3e6725e80,0.15,right,early_loading,native_strong_ice,near_slip_non_event,0,202608354,True,True,True,True,True,True,True,True,True,True,True,True
pair_055,positive_0p15_right_early_loading_native_strong_ice_v1,control_0p15_right_early_loading_native_strong_ice_v1,3fe9dce52483105675f35be008fb516aac4c8f0ea622f46b82d7777d528fd9ee,0.15,right,early_loading,native_strong_ice,hard_normal,1,202608355,True,True,True,True,True,True,True,True,True,True,True,True
pair_056,positive_0p15_right_early_loading_native_strong_ice_v2,control_0p15_right_early_loading_native_strong_ice_v2,8ea2ca40c43a70049aca755d79bcb46bb95bb09105951937c7cb015abb9a7db4,0.15,right,early_loading,native_strong_ice,near_slip_non_event,2,202608356,True,True,True,True,True,True,True,True,True,True,True,True
pair_057,positive_0p15_right_early_loading_moderate_ice_preregistered_v0,control_0p15_right_early_loading_moderate_ice_preregistered_v0,559a5099d2970e3ff263c77fcd693c2ed3749f632f603bbe05f034bbeca1f46c,0.15,right,early_loading,moderate_ice_preregistered,hard_normal,0,202608357,True,True,True,True,True,True,True,True,True,True,True,True
pair_058,positive_0p15_right_early_loading_moderate_ice_preregistered_v1,control_0p15_right_early_loading_moderate_ice_preregistered_v1,18a027ac477885a087febb82c23ee673bee395d857ed0c38e35520ef51afeed4,0.15,right,early_loading,moderate_ice_preregistered,near_slip_non_event,1,202608358,True,True,True,True,True,True,True,True,True,True,True,True
pair_059,positive_0p15_right_early_loading_moderate_ice_preregistered_v2,control_0p15_right_early_loading_moderate_ice_preregistered_v2,2783e0a38772e7135d7f786d55f09a0cb7c1118112303cf3ae7d3904c21768bb,0.15,right,early_loading,moderate_ice_preregistered,hard_normal,2,202608359,True,True,True,True,True,True,True,True,True,True,True,True
pair_060,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,9c36c43f4abcb2417049b37ab1e163a9eff41f769b12bae7718d578fee258a1f,0.15,right,mid_loading_early_stance,native_strong_ice,hard_normal,0,202608360,True,True,True,True,True,True,True,True,True,True,True,True
pair_061,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,control_0p15_right_mid_loading_early_stance_native_strong_ice_v1,50fa79cdeb0912d232957ef0739c7b36cc52600d856ec94d8b1d6141074a70dc,0.15,right,mid_loading_early_stance,native_strong_ice,near_slip_non_event,1,202608361,True,True,True,True,True,True,True,True,True,True,True,True
pair_062,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v2,control_0p15_right_mid_loading_early_stance_native_strong_ice_v2,11d364eb85814a5b41fc81047a4769d16c7532379f8ae9605fcc7ac638325a98,0.15,right,mid_loading_early_stance,native_strong_ice,hard_normal,2,202608362,True,True,True,True,True,True,True,True,True,True,True,True
pair_063,positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,de0f0004d75b8bee2b700c1507a3b1ff42486727dcb5b6694b752ebad91c66f7,0.15,right,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,0,202608363,True,True,True,True,True,True,True,True,True,True,True,True
pair_064,positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,c9616f01f6c8f40a9dca248ae6ceb50a7740d27baa801b21e72b1b27eef8d7b0,0.15,right,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,1,202608364,True,True,True,True,True,True,True,True,True,True,True,True
pair_065,positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,8da5b8f2c64b4463c02e05fe21724503c5e733c40440bad57893fd9745fa688a,0.15,right,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,2,202608365,True,True,True,True,True,True,True,True,True,True,True,True
pair_066,positive_0p15_right_mid_late_stance_native_strong_ice_v0,control_0p15_right_mid_late_stance_native_strong_ice_v0,8a9390859c57c26c2f34973474a3ce589af4b3494079682038c277d972d254bf,0.15,right,mid_late_stance,native_strong_ice,near_slip_non_event,0,202608366,True,True,True,True,True,True,True,True,True,True,True,True
pair_067,positive_0p15_right_mid_late_stance_native_strong_ice_v1,control_0p15_right_mid_late_stance_native_strong_ice_v1,ffe0f539119fce82fe7ed7aaac571508a4aa4747177aa019200aeea315192fac,0.15,right,mid_late_stance,native_strong_ice,hard_normal,1,202608367,True,True,True,True,True,True,True,True,True,True,True,True
pair_068,positive_0p15_right_mid_late_stance_native_strong_ice_v2,control_0p15_right_mid_late_stance_native_strong_ice_v2,c1bee63d1a737c26827e87f726b0d8cae1a1dccc0f9e33742d99b267261bdde5,0.15,right,mid_late_stance,native_strong_ice,near_slip_non_event,2,202608368,True,True,True,True,True,True,True,True,True,True,True,True
pair_069,positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,control_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,4177dd541f20f06ae2487ee610baaa4b8116e350cb9c2d28440fab93140599b8,0.15,right,mid_late_stance,moderate_ice_preregistered,hard_normal,0,202608369,True,True,True,True,True,True,True,True,True,True,True,True
pair_070,positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,control_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,bf73905b02a853eeabf0b8dde230e029c8ffc880b2479d007a46bdf8737c9cfc,0.15,right,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,1,202608370,True,True,True,True,True,True,True,True,True,True,True,True
pair_071,positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,control_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,983073c5737eb29d0309ace6750c79f81e00dee3b020822c867460fe08031820,0.15,right,mid_late_stance,moderate_ice_preregistered,hard_normal,2,202608371,True,True,True,True,True,True,True,True,True,True,True,True
