detector,source,run_id,profile,speed_mps,variation,physical_episode_valid_onset_sample,physical_oracle_fire_sample,model_probability_threshold_crossing_sample,model_stable_fire_sample,touchdown_sample,physical_valid_onset_to_oracle_fire_ms,physical_oracle_fire_to_model_positive_ms,probability_crossing_to_stable_fire_ms,touchdown_to_model_stable_fire_ms,model_inference_compute_ms_per_window,anticipation_false_alarm,fall_occurred,pre_fall_only_evaluation,fast_reflex_target_ms
sink,fd5b9f0_outer_normal,sand_hardened_0p15_v04,sand_walking_support_v1_hardened,0.15,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p20_v04,marble,0.2,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p20_v04,concrete,0.2,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,sand_hardened_0p20_v04,sand_walking_support_v1_hardened,0.2,4,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p10_v05,marble,0.1,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p10_v05,concrete,0.1,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,sand_hardened_0p10_v05,sand_walking_support_v1_hardened,0.1,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p15_v05,marble,0.15,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p15_v05,concrete,0.15,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,sand_hardened_0p15_v05,sand_walking_support_v1_hardened,0.15,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,marble_native_0p20_v05,marble,0.2,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,concrete_native_0p20_v05,concrete,0.2,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,fd5b9f0_outer_normal,sand_hardened_0p20_v05,sand_walking_support_v1_hardened,0.2,5,,,,,,,,,,0.016180181283026254,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p10_v03,sand_solref_interpolation_1of3,0.1,3,43,66,,,33,23,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p10_v03,sand_solref_interpolation_2of3,0.1,3,43,63,,,33,20,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p15_v03,sand_solref_interpolation_1of3,0.15,3,43,66,,,33,23,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p15_v03,sand_solref_interpolation_2of3,0.15,3,43,63,1450,1450,33,20,1387,0,1417,0.01567056977511418,False,True,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p20_v03,sand_solref_interpolation_1of3,0.2,3,43,66,,,33,23,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p20_v03,sand_solref_interpolation_2of3,0.2,3,43,63,,,33,20,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p10_v04,sand_solref_interpolation_1of3,0.1,4,249,286,,,239,37,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p10_v04,sand_solref_interpolation_2of3,0.1,4,239,266,,,229,27,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p15_v04,sand_solref_interpolation_1of3,0.15,4,248,282,,,238,34,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p15_v04,sand_solref_interpolation_2of3,0.15,4,239,267,,,229,28,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p20_v04,sand_solref_interpolation_1of3,0.2,4,247,280,,,237,33,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p20_v04,sand_solref_interpolation_2of3,0.2,4,239,266,,,229,27,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p10_v05,sand_solref_interpolation_1of3,0.1,5,54,250,,,44,196,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p10_v05,sand_solref_interpolation_2of3,0.1,5,54,84,1662,1662,44,30,1578,0,1618,0.01567056977511418,False,True,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p15_v05,sand_solref_interpolation_1of3,0.15,5,54,236,,,44,182,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p15_v05,sand_solref_interpolation_2of3,0.15,5,54,84,,,44,30,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_1of3_0p20_v05,sand_solref_interpolation_1of3,0.2,5,54,230,,,44,176,,,,0.01567056977511418,False,False,True,20
sink,new_sink_holdout,sand_solref_interpolation_2of3_0p20_v05,sand_solref_interpolation_2of3,0.2,5,54,84,,,44,30,,,,0.01567056977511418,False,False,True,20
