run_id,pair_id,role,target_foot,foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,physical_onset_sample,maximum_anchor_drift_m,pre_fall_valid_sample_count,air_event_counted,post_fall_event_counted
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,38,1088,1089,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,39,1090,1091,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,40,1092,1094,,0.0014048261800780892,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,41,1096,1099,,0.0029466808773577213,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,42,1101,1103,,0.0015096493298187852,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,43,1104,1106,,0.0015236492035910487,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,44,1108,1109,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,45,1111,1113,,0.0015974988928064704,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,46,1115,1116,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,47,1117,1118,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,48,1120,1121,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,49,1123,1125,,0.001740155159495771,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,50,1127,1128,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,51,1134,1135,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,52,1138,1140,,0.001953938277438283,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,53,1144,1146,,0.0020061847753822803,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,54,1149,1150,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,55,1153,1155,,0.0021242217626422644,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,56,1157,1158,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,57,1160,1162,,0.0022077998146414757,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,58,1163,1164,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,59,1166,1168,,0.0022292856592684984,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,60,1172,1187,,0.030591318383812904,15,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,61,1195,1202,,0.013281932100653648,7,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,62,1206,1210,,0.00676298514008522,4,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,63,1213,1217,,0.006850302219390869,4,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,64,1219,1222,,0.004620602820068598,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,65,1225,1228,,0.0047189719043672085,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,66,1230,1233,,0.004769356921315193,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,67,1235,1238,,0.004806979093700647,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,68,1240,1243,,0.00479556480422616,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,69,1245,1248,,0.00470416434109211,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,70,1249,1252,,0.0046409727074205875,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,71,1253,1254,,0.0,1,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,72,1255,1258,,0.0045710839331150055,3,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,73,1260,1264,,0.006475947797298431,4,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,74,1265,1276,,0.01925286091864109,11,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,75,1277,1281,,0.0054975575767457485,4,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,76,1282,1284,,0.0017626950284466147,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,77,1285,1287,,0.001773259718902409,2,False,False
positive_0p20_right_early_native_strong_ice,pilot_pair_18,positive,right,right,78,1288,1290,,0.001825366634875536,2,False,False
