run_id,role,target_foot,contacting_foot,start_sample,geom1_name,geom1_id,geom2_name,geom2_id,body1_name,body1_id,body2_name,body2_id,patch_inclusion,contact_position_first,contact_position_last,geom1_friction,geom2_friction,geom1_priority,geom2_priority,explicit_pair_id,effective_contact_friction_first,effective_contact_friction_last,contact_dimension,contact_exclude,efc_address_min,efc_address_max,integrator,mutation_point,constraints_constructed_at_mutation,tangential_contact_force_peak_n,end_sample_exclusive,observed_sample_count,tangential_contact_force_mean_n
positive_0p10_left_early_native_strong_ice,positive,left,left,529,left_foot_contact_3,19,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.1476157726168041, 0.23893367044204958, -0.0001333896553746411]","[0.14800896446910272, 0.2628180083244615, -2.1278770461707897e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,2,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,37,mjINT_EULER,model.pair_friction before mj_step,False,6.058447273700057,579,50,3.8098500566904505
positive_0p10_left_early_native_strong_ice,positive,left,left,526,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.1491152966160063, 0.17836022834263948, -0.0004007597902683513]","[0.1451991460193126, 0.2074500502274975, -8.537785960799349e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,33,41,mjINT_EULER,model.pair_friction before mj_step,False,11.783803065169877,584,58,3.762385661090835
positive_0p10_left_early_native_strong_ice,positive,left,left,574,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.025146900723940435, 0.21113847148457168, -1.7856028560137016e-05]","[-0.023976679027709502, 0.22542436633557691, -2.638579708710842e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,12.797869376618756,585,11,11.930684660026147
positive_0p10_left_early_native_strong_ice,positive,left,left,586,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.023702405559135054, 0.228474860851067, -8.28252061282897e-07]","[-0.02296958516651304, 0.23633274984489258, -9.733609828449508e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,12.026742104437721,592,6,11.481045626501135
positive_0p10_left_early_native_strong_ice,positive,left,left,593,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.02266670817688221, 0.23953895493607788, -1.7239383812706066e-06]","[-0.022142733118166724, 0.24442528092442597, -1.0865957248820668e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,11.848251334350191,597,4,11.742074259030474
positive_0p10_left_early_native_strong_ice,positive,left,left,587,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.1455120042113625, 0.21137986789958962, -1.2458532546638645e-05]","[0.14649845619927504, 0.22317288310819017, -8.474192257149071e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,3.7118108188402914,599,12,3.1793873658033056
positive_0p10_left_early_native_strong_ice,positive,left,left,598,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.02179291806126682, 0.24772921064827458, -2.8341053321112586e-06]","[-0.02179291806126682, 0.24772921064827458, -2.8341053321112586e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,11.542692601264571,599,1,11.542692601264571
positive_0p10_left_early_native_strong_ice,positive,left,left,600,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.021414605955980215, 0.25108232660072705, -5.708260548492605e-06]","[-0.021234590974439915, 0.2527780548992897, -4.659058577702324e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,11.07061464874948,602,2,9.682675937247117
positive_0p10_left_early_native_strong_ice,positive,left,left,603,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.020851671062438126, 0.25618723215877465, -1.1006372978350498e-05]","[-0.019868673497502543, 0.26480986465663386, -1.0284697235934948e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,11.234094257583267,609,6,10.821836531522655
positive_0p10_left_early_native_strong_ice,positive,left,left,601,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.1468250270598631, 0.22668279168996722, -2.7154615614685684e-05]","[0.14772960918540556, 0.23653981409893626, -8.11160055035065e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,4.182875351082994,610,9,3.394288388011368
positive_0p10_left_early_native_strong_ice,positive,left,left,610,left_foot_contact_2,18,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[-0.019429372546175938, 0.26830197849255527, -4.89249047448681e-06]","[-0.01855298177053677, 0.2753968811700472, -8.319442936916e-06]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,1,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,29,mjINT_EULER,model.pair_friction before mj_step,False,10.659367649719234,615,5,9.385856111837287
positive_0p10_left_early_native_strong_ice,positive,left,left,612,left_foot_contact_4,20,slip_patch,2,left_ankle_roll_link,7,world,0,True,"[0.14818584308581617, 0.24046242863215067, -2.6694935250926033e-05]","[0.14921937974128163, 0.2499813128267604, -1.6143191489403907e-05]","[1.0, 0.005, 0.0001]","[1.0, 0.005, 0.0001]",0,1,3,"[0.05, 0.05, 0.001, 1e-05, 1e-05]","[0.05, 0.05, 0.001, 1e-05, 1e-05]",3,0,29,33,mjINT_EULER,model.pair_friction before mj_step,False,3.952276984914141,620,8,3.158081245391288
