run_id,role,speed_mps,target_foot,target_phase,profile,seed,duration_s,sample_count,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,full_trace_sha256,first_patch_contact_sample,patch_active_contact_count,intervention_activation_physics_steps,effective_patch_friction_mean,target_tangential_force_peak_n,target_anchor_drift_max_m,target_physical_onset_sample,contralateral_physical_onset_sample,actual_first_affected_foot,contralateral_contamination,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,post_fall_excluded_sample_count,patch_base_double_contact_count,discarded,relabeled,retained,pair_id,severity,pair_parity_sha256,collision_geometry_sha256,actual_onset_phase,touchdown_to_onset_ms,valid_target_positive,air_event_counted,post_fall_event_counted,unique_pilot_run,replay_of,deterministic_replay_match
positive_0p10_right_late_native_strong_ice,positive,0.1,right,late,native_strong_ice,202608410,3.0,3000,85ab0e4da4acb18cbc86a959c67d8c45742243acf2c052fa124637dde6764adf,726d9a38db6e3ec0e7d0bada14fd84068ca4873f8d24066a5f21abf980d93cd2,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,63aa953c520393536da002ea9ed267b5b73d484d3c4595d156ffea1cfbd4e23e,43,1619,752,0.780543545398394,243.4943677482051,0.08249127864837646,477,,right,False,False,,,,0,0,False,False,True,pilot_pair_10,native_strong_ice,a17a00ba66977d6fe0ceadd6e8769a239a08aadd22432f6515bb8c15040e4945,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,late,279,True,False,False,True,,
control_0p10_right_late_native_strong_ice,control,0.1,right,late,hard_control,202608410,3.0,3000,85ab0e4da4acb18cbc86a959c67d8c45742243acf2c052fa124637dde6764adf,726d9a38db6e3ec0e7d0bada14fd84068ca4873f8d24066a5f21abf980d93cd2,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,68ac7fcd47e9fea1378e9c8f2e1d23f640299640606674df86e3cbb632071491,43,1805,0,1.0,160.09163866359432,0.006417038384824991,,,none,False,False,,,,0,0,False,False,True,pilot_pair_10,native_strong_ice,a17a00ba66977d6fe0ceadd6e8769a239a08aadd22432f6515bb8c15040e4945,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p10_right_late_moderate_ice_preregistered,positive,0.1,right,late,moderate_ice_preregistered,202608411,3.0,3000,fbf06dff6e32674656fbe43416b30b9c9ec9aa3bcd3511b91eecfa52d3dec379,c1302b6376d334f2ad337bbacee616ba44cebf1725fc7afda736be0783c3ddc6,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,11c5f56fc7b12617b8762e764ce7d48f5e21882a7b28047f3d84a176837b261a,43,1733,1066,0.7247547605308713,197.4292265168671,0.0673496276140213,528,,right,False,False,,,,0,0,False,False,True,pilot_pair_11,moderate_ice_preregistered,762cead22e86932fce1b79339074e7d0dc512e113eeb940457fc6fd1b01f9339,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,late,330,True,False,False,True,,
control_0p10_right_late_moderate_ice_preregistered,control,0.1,right,late,hard_control,202608411,3.0,3000,fbf06dff6e32674656fbe43416b30b9c9ec9aa3bcd3511b91eecfa52d3dec379,c1302b6376d334f2ad337bbacee616ba44cebf1725fc7afda736be0783c3ddc6,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,748c3c16a2e8f6104c36c76bfaab4fba34535e5e4ff2c44b39aaa015d9259652,43,1805,0,1.0,160.1700301040438,0.006401157472282648,,,none,False,False,,,,0,0,False,False,True,pilot_pair_11,moderate_ice_preregistered,762cead22e86932fce1b79339074e7d0dc512e113eeb940457fc6fd1b01f9339,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p20_left_early_native_strong_ice,positive,0.2,left,early,native_strong_ice,202608412,3.0,3000,285d3bf3451e988505b0358df6439c81ce9e8e77b460b38d1b2f851e6eead962,ff9901b48a68282716043644a79218945609c9241ddffb4055f23e10b23d94d8,ebb300597662a5c3036a0d673839ac148c210d3cb55fc953ad56457e4383477a,4daa32475b5f20299497f1eabf24e9007d12a4c2fb31edba75c2e07d2cdb9eea,36,1090,6000,0.049999999999999996,47.70610772174812,0.2516578435897827,134,,left,False,True,1607,1.6079999999998784,fallen_base_height,1393,0,False,False,True,pilot_pair_12,native_strong_ice,27bd81526d9e1fa29b3082073cf3efe732a12d4f11f84088fa3f96a34a1cb38a,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,early,99,True,False,False,True,,
control_0p20_left_early_native_strong_ice,control,0.2,left,early,hard_control,202608412,3.0,3000,285d3bf3451e988505b0358df6439c81ce9e8e77b460b38d1b2f851e6eead962,ff9901b48a68282716043644a79218945609c9241ddffb4055f23e10b23d94d8,ebb300597662a5c3036a0d673839ac148c210d3cb55fc953ad56457e4383477a,0ba33ff3357f004f807a6f0dfe5ac599b725bae3b7ae630bd9fc432d516c4273,36,1560,0,1.0,131.44938594241853,0.003339614486321807,,,none,False,False,,,,0,0,False,False,True,pilot_pair_12,native_strong_ice,27bd81526d9e1fa29b3082073cf3efe732a12d4f11f84088fa3f96a34a1cb38a,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p20_left_early_moderate_ice_preregistered,positive,0.2,left,early,moderate_ice_preregistered,202608413,3.0,3000,5a68da7dfc87fda03d2028687270ce28231352a5bd77ee1a80d626969ce8c7d0,5a8d145b0862fc1b8a99f3c96cbf71e1860ad7f2276eb6c0d5a23f389c2473f2,ebb300597662a5c3036a0d673839ac148c210d3cb55fc953ad56457e4383477a,00179fc5dfe1f07fa9e5c8a7eadf055fbae4985afa445ab346e05cb2a2634262,36,1163,6000,0.09999999999999999,80.1693181386622,0.049159906804561615,,,none,False,True,2278,2.2789999999999284,fallen_base_height,722,0,False,False,True,pilot_pair_13,moderate_ice_preregistered,2a96c3818c38054ca8183171e3b9d3ce52724148e4a9e04e52771a41aea7b156,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
control_0p20_left_early_moderate_ice_preregistered,control,0.2,left,early,hard_control,202608413,3.0,3000,5a68da7dfc87fda03d2028687270ce28231352a5bd77ee1a80d626969ce8c7d0,5a8d145b0862fc1b8a99f3c96cbf71e1860ad7f2276eb6c0d5a23f389c2473f2,ebb300597662a5c3036a0d673839ac148c210d3cb55fc953ad56457e4383477a,b1e0cefa60b65def5120d125074e69c1ce063e9a97ff602a106daf2f7a0e9001,36,1560,0,1.0,131.43987118612205,0.0033504613675177097,,,none,False,False,,,,0,0,False,False,True,pilot_pair_13,moderate_ice_preregistered,2a96c3818c38054ca8183171e3b9d3ce52724148e4a9e04e52771a41aea7b156,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
positive_0p20_left_middle_native_strong_ice,positive,0.2,left,middle,native_strong_ice,202608414,3.0,3000,ce4073dd8997e7b8ac1be93cf768f2ffe698c16638eb54f32297fae0256842be,3689b423e9bb1151711f1ae5f9330dae27b0594d7514fa6053cbc46dbb5287bc,ebb300597662a5c3036a0d673839ac148c210d3cb55fc953ad56457e4383477a,5d996b37ff638d06e50a8146c32151b8a9cff8d679a4f7439965d3acdb734467,36,1553,1135,0.6556020605280104,266.8852909067413,0.11255504190921783,1240,,left,False,False,,,,0,0,False,False,True,pilot_pair_14,native_strong_ice,be28932b018ca267aeb28c82a3ddad0e910d8aeab4474ff767610cbaec575a14,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,middle,138,True,False,False,True,,
control_0p20_left_middle_native_strong_ice,control,0.2,left,middle,hard_control,202608414,3.0,3000,ce4073dd8997e7b8ac1be93cf768f2ffe698c16638eb54f32297fae0256842be,3689b423e9bb1151711f1ae5f9330dae27b0594d7514fa6053cbc46dbb5287bc,ebb300597662a5c3036a0d673839ac148c210d3cb55fc953ad56457e4383477a,3d81495bd60bd64ac45a0fe4ed105316a8fe11d34bb291c22daa8a266436dc91,36,1561,0,1.0,131.42872344551088,0.0033445479348301888,,,none,False,False,,,,0,0,False,False,True,pilot_pair_14,native_strong_ice,be28932b018ca267aeb28c82a3ddad0e910d8aeab4474ff767610cbaec575a14,58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,none,,False,False,False,True,,
