detector,window_ms,condition,evaluation_domain,train_samples,train_runs,validation_samples,validation_runs,class_balance,normalization_source,seed,feature_definition,parameters,endpoint_balanced_accuracy,endpoint_recall,endpoint_false_positive_rate,confusion_json,walking_normal_fp_runs,walking_positive_run_recall,walking_anticipation_runs,reload_parity,production_candidate
slip,50,unified_domain_specific_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.9176650132590809,0.9194244604316547,0.08409443391349303,"{""fn"": 56, ""fp"": 2440, ""tn"": 26575, ""tp"": 639}",8,1.0,3,True,False
slip,50,gait_state_routed_walking,walking_v02,5508,36,29710,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,324,0.8732073586348912,0.8215827338129497,0.07516801654316732,"{""fn"": 124, ""fp"": 2181, ""tn"": 26834, ""tp"": 571}",7,1.0,3,True,False
slip,100,walking_only,walking_v02,5508,36,29574,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.888544238538322,0.8503597122302158,0.0732712351535718,"{""fn"": 104, ""fp"": 2116, ""tn"": 26763, ""tp"": 591}",4,1.0,3,True,False
slip,100,controlled_only,controlled_validation,446,135,4590,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.892919710545532,0.8995433789954338,0.11370395790436971,"{""fn"": 22, ""fp"": 497, ""tn"": 3874, ""tp"": 197}",,,,True,False
slip,100,controlled_only,walking_v02,446,135,29574,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.3715396241474911,0.4489208633093525,0.7058416150143703,"{""fn"": 383, ""fp"": 20384, ""tn"": 8495, ""tp"": 312}",9,1.0,3,True,False
slip,100,walking_only,controlled_validation,5508,36,4590,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.5,0.0,0.0,"{""fn"": 219, ""fp"": 0, ""tn"": 4371, ""tp"": 0}",,,,True,False
slip,100,unified_shared_normalization,controlled_validation,5954,171,4590,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8191552041318403,0.771689497716895,0.13337908945321436,"{""fn"": 50, ""fp"": 583, ""tn"": 3788, ""tp"": 169}",,,,True,False
slip,100,unified_shared_normalization,walking_v02,5954,171,29574,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8818278996388056,0.8661870503597122,0.10253125108210118,"{""fn"": 93, ""fp"": 2961, ""tn"": 25918, ""tp"": 602}",9,1.0,3,True,False
slip,100,unified_domain_specific_normalization,controlled_validation,5954,171,4590,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8286699698824445,0.863013698630137,0.20567375886524822,"{""fn"": 30, ""fp"": 899, ""tn"": 3472, ""tp"": 189}",,,,True,False
slip,100,unified_domain_specific_normalization,walking_v02,5954,171,29574,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8978639478389241,0.8719424460431655,0.07621455036531735,"{""fn"": 89, ""fp"": 2201, ""tn"": 26678, ""tp"": 606}",7,1.0,3,True,False
slip,100,gait_state_routed_walking,walking_v02,5508,36,29574,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,324,0.7712899094485277,0.6071942446043166,0.06461442570726134,"{""fn"": 273, ""fp"": 1866, ""tn"": 27013, ""tp"": 422}",6,1.0,3,True,False
sink,20,walking_only,walking_v02,6000,36,29710,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.7527617213145235,0.8963125845737483,0.3907891419447012,"{""fn"": 613, ""fp"": 9300, ""tn"": 14498, ""tp"": 5299}",9,1.0,4,True,False
sink,20,controlled_only,controlled_validation,2950,135,9000,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.9954665349890139,0.9975186104218362,0.00658554044380816,"{""fn"": 5, ""fp"": 46, ""tn"": 6939, ""tp"": 2010}",,,,True,False
sink,20,controlled_only,walking_v02,2950,135,29710,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.552477445768461,0.9847767253044655,0.8798218337675435,"{""fn"": 90, ""fp"": 20938, ""tn"": 2860, ""tp"": 5822}",9,1.0,6,True,False
sink,20,walking_only,controlled_validation,6000,36,9000,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.4998568360773085,0.0,0.0002863278453829635,"{""fn"": 2015, ""fp"": 2, ""tn"": 6983, ""tp"": 0}",,,,True,False
sink,20,unified_shared_normalization,controlled_validation,8950,171,9000,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.7201871788358961,0.9553349875930521,0.5149606299212598,"{""fn"": 90, ""fp"": 3597, ""tn"": 3388, ""tp"": 1925}",,,,True,False
sink,20,unified_shared_normalization,walking_v02,8950,171,29710,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.7179460518566223,0.9024018944519621,0.46650979073871757,"{""fn"": 577, ""fp"": 11102, ""tn"": 12696, ""tp"": 5335}",9,1.0,6,True,False
sink,20,unified_domain_specific_normalization,controlled_validation,8950,171,9000,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.9897305640765128,0.9920595533498759,0.012598425196850394,"{""fn"": 16, ""fp"": 88, ""tn"": 6897, ""tp"": 1999}",,,,True,False
sink,20,unified_domain_specific_normalization,walking_v02,8950,171,29710,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.7130598158087675,0.8386332882273342,0.41251365660979916,"{""fn"": 954, ""fp"": 9817, ""tn"": 13981, ""tp"": 4958}",9,1.0,6,True,False
sink,20,gait_state_routed_walking,walking_v02,6000,36,29710,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,243,0.7828424336269146,0.7811231393775372,0.21543827212370786,"{""fn"": 1294, ""fp"": 5127, ""tn"": 18671, ""tp"": 4618}",9,1.0,6,True,False
sink,50,walking_only,walking_v02,6000,36,29710,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.8251030237471202,0.9106901217861976,0.2604840742919573,"{""fn"": 528, ""fp"": 6199, ""tn"": 17599, ""tp"": 5384}",9,1.0,6,True,False
sink,50,controlled_only,controlled_validation,2950,135,9000,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.9942926263474905,0.996029776674938,0.007444523979957051,"{""fn"": 8, ""fp"": 52, ""tn"": 6933, ""tp"": 2007}",,,,True,False
sink,50,controlled_only,walking_v02,2950,135,29710,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.5291675731270443,0.9817320703653586,0.9233969241112698,"{""fn"": 108, ""fp"": 21975, ""tn"": 1823, ""tp"": 5804}",9,1.0,6,True,False
sink,50,walking_only,controlled_validation,6000,36,9000,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.6128993181063285,0.9895781637717121,0.7637795275590551,"{""fn"": 21, ""fp"": 5335, ""tn"": 1650, ""tp"": 1994}",,,,True,False
sink,50,unified_shared_normalization,controlled_validation,8950,171,9000,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.9830830332989338,0.9900744416873449,0.023908375089477452,"{""fn"": 20, ""fp"": 167, ""tn"": 6818, ""tp"": 1995}",,,,True,False
sink,50,unified_shared_normalization,walking_v02,8950,171,29710,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.7870783850452632,0.878552097428958,0.3043953273384318,"{""fn"": 718, ""fp"": 7244, ""tn"": 16554, ""tp"": 5194}",9,1.0,6,True,False
sink,50,unified_domain_specific_normalization,controlled_validation,8950,171,9000,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.9869724382805409,0.9851116625310173,0.011166785969935577,"{""fn"": 30, ""fp"": 78, ""tn"": 6907, ""tp"": 1985}",,,,True,False
sink,50,unified_domain_specific_normalization,walking_v02,8950,171,29710,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.7963159294267572,0.8763531799729364,0.2837213211194218,"{""fn"": 731, ""fp"": 6752, ""tn"": 17046, ""tp"": 5181}",9,1.0,6,True,False
sink,50,gait_state_routed_walking,walking_v02,6000,36,29710,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,243,0.8354575613920547,0.8695872801082544,0.1986721573241449,"{""fn"": 771, ""fp"": 4728, ""tn"": 19070, ""tp"": 5141}",9,1.0,6,True,False
sink,100,walking_only,walking_v02,6000,36,29574,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.8606204683597105,0.928788903924222,0.20754796720480095,"{""fn"": 421, ""fp"": 4911, ""tn"": 18751, ""tp"": 5491}",9,1.0,6,True,False
sink,100,controlled_only,controlled_validation,2336,135,4590,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.9996734160679295,1.0,0.0006531678641410843,"{""fn"": 0, ""fp"": 2, ""tn"": 3060, ""tp"": 1528}",,,,True,False
sink,100,controlled_only,walking_v02,2336,135,29574,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.48887011330866403,0.7349458728010826,0.7572056461837545,"{""fn"": 1567, ""fp"": 17917, ""tn"": 5745, ""tp"": 4345}",9,1.0,6,True,False
sink,100,walking_only,controlled_validation,6000,36,4590,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.4996734160679295,0.0,0.0006531678641410843,"{""fn"": 1528, ""fp"": 2, ""tn"": 3060, ""tp"": 0}",,,,True,False
sink,100,unified_shared_normalization,controlled_validation,8336,171,4590,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.9702808621815806,1.0,0.05943827563683867,"{""fn"": 0, ""fp"": 182, ""tn"": 2880, ""tp"": 1528}",,,,True,False
sink,100,unified_shared_normalization,walking_v02,8336,171,29574,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8347913196552852,0.9046008119079838,0.2350181725974136,"{""fn"": 564, ""fp"": 5561, ""tn"": 18101, ""tp"": 5348}",9,1.0,6,True,False
sink,100,unified_domain_specific_normalization,controlled_validation,8336,171,4590,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.9954278249510125,1.0,0.009144350097975179,"{""fn"": 0, ""fp"": 28, ""tn"": 3034, ""tp"": 1528}",,,,True,False
sink,100,unified_domain_specific_normalization,walking_v02,8336,171,29574,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.845801333370086,0.9073071718538566,0.21570450511368439,"{""fn"": 548, ""fp"": 5104, ""tn"": 18558, ""tp"": 5364}",9,1.0,6,True,False
sink,100,gait_state_routed_walking,walking_v02,6000,36,29574,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,243,0.8556078850212208,0.9133964817320703,0.20218071168962895,"{""fn"": 512, ""fp"": 4784, ""tn"": 18878, ""tp"": 5400}",9,1.0,6,True,False
sink,200,walking_only,walking_v02,6000,36,28243,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.9011582847153081,0.9687074829931973,0.16639091356258104,"{""fn"": 184, ""fp"": 3721, ""tn"": 18642, ""tp"": 5696}",8,1.0,3,True,False
