view,probe,evaluation_domain,train_samples,validation_samples,train_runs,seed,parameters,normalization_source,production_candidate,accuracy,macro_accuracy,worst_class_recall,majority_class_prediction_rate,class_recall_json,prediction_distribution_json,collapse
phase_balanced,shrinkage_LDA,static_validation,3100,479,36,20260820,324,LDA internal covariance; walking train view only,False,0.2776617954070981,0.2791666666666667,0.0,0.964509394572025,"{""concrete"": 0.0, ""ice"": 0.11666666666666667, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.03549060542797495, ""marble"": 0.0, ""sand"": 0.964509394572025}",True
class_balanced,logistic_regression,walking_v02,7200,31712,36,20260820,324,walking diagnostic train view only,False,0.8724457618567104,0.8698660314684066,0.812748212867355,0.4506811301715439,"{""concrete"": 0.8222178374112076, ""ice"": 0.9730443974630021, ""marble"": 0.812748212867355, ""sand"": 0.8714536781320613}","{""concrete"": 0.19188319878910193, ""ice"": 0.20143794147325933, ""marble"": 0.15599772956609487, ""sand"": 0.4506811301715439}",False
class_balanced,logistic_regression,static_validation,7200,479,36,20260820,324,walking diagnostic train view only,False,0.24843423799582465,0.25,0.0,0.9164926931106472,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.006263048016701462, ""ice"": 0.0, ""marble"": 0.07724425887265135, ""sand"": 0.9164926931106472}",True
class_balanced,shrinkage_LDA,walking_v02,7200,31712,36,20260820,324,LDA internal covariance; walking train view only,False,0.7391523713420787,0.7262691498059781,0.44435674822415155,0.45790237134207873,"{""concrete"": 0.44435674822415155, ""ice"": 0.96723044397463, ""marble"": 0.7430500397140588, ""sand"": 0.7504393673110721}","{""concrete"": 0.1224457618567104, ""ice"": 0.18888748738647831, ""marble"": 0.2307643794147326, ""sand"": 0.45790237134207873}",False
class_balanced,shrinkage_LDA,static_validation,7200,479,36,20260820,324,LDA internal covariance; walking train view only,False,0.3569937369519833,0.35833333333333334,0.0,0.8747390396659708,"{""concrete"": 0.0, ""ice"": 0.43333333333333335, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.12526096033402923, ""marble"": 0.0, ""sand"": 0.8747390396659708}",True
class_phase_balanced,logistic_regression,walking_v02,1632,31712,36,20260820,324,walking diagnostic train view only,False,0.7806823915237134,0.7786974937437638,0.6395027624309392,0.43529263370333,"{""concrete"": 0.6395027624309392, ""ice"": 0.9675828047921071, ""marble"": 0.7339158061953932, ""sand"": 0.7737886015566157}","{""concrete"": 0.1857656407669021, ""ice"": 0.19547805247225025, ""marble"": 0.18346367305751765, ""sand"": 0.43529263370333}",False
class_phase_balanced,logistic_regression,static_validation,1632,479,36,20260820,324,walking diagnostic train view only,False,0.24843423799582465,0.25,0.0,0.8851774530271399,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.05010438413361169, ""ice"": 0.0, ""marble"": 0.06471816283924843, ""sand"": 0.8851774530271399}",True
class_phase_balanced,shrinkage_LDA,walking_v02,1632,31712,36,20260820,324,LDA internal covariance; walking train view only,False,0.6377081231079718,0.6722928099804524,0.5065114443567482,0.3470295156407669,"{""concrete"": 0.5065114443567482, ""ice"": 0.9277660324171952, ""marble"": 0.6977760127084988, ""sand"": 0.5571177504393673}","{""concrete"": 0.19740161453077698, ""ice"": 0.1721430373360242, ""marble"": 0.28342583249243186, ""sand"": 0.3470295156407669}",False
class_phase_balanced,shrinkage_LDA,static_validation,1632,479,36,20260820,324,LDA internal covariance; walking train view only,False,0.24843423799582465,0.25,0.0,1.0,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}",True
all_loaded,frozen_terrain,walking_v02,immutable upstream,31712,immutable upstream,immutable upstream,1272,immutable model-specific,True,0.4736377396569122,0.2527102251190341,0.0,0.8471871846619576,"{""concrete"": 0.0, ""ice"": 0.09901338971106413, ""marble"": 0.006354249404289118, ""sand"": 0.9054732613607833}","{""concrete"": 0.0, ""ice"": 0.038218970736629665, ""marble"": 0.11459384460141271, ""sand"": 0.8471871846619576}",True
all_loaded,float_candidate,walking_v02,immutable upstream,31712,immutable upstream,immutable upstream,1272,immutable model-specific,False,0.4751513622603431,0.2534067193987221,0.0,0.8493945509586277,"{""concrete"": 0.0, ""ice"": 0.09866102889358704, ""marble"": 0.006354249404289118, ""sand"": 0.9086115992970123}","{""concrete"": 0.0, ""ice"": 0.03802976791120081, ""marble"": 0.11257568113017154, ""sand"": 0.8493945509586277}",True
