threshold_m,persistence_ms,fold_id,selection_variations,internal_validation_variation,selection_normal_runs,selection_normal_false_positive_runs,selection_normal_false_positive_samples,selection_positive_runs,selection_physical_positive_runs,selection_detected_positive_runs,selection_detected_speed_count,selection_detected_speeds_mps,selection_air_positive_count,selection_post_fall_positive_count,selection_touchdown_transient_positive_count,selection_normal_envelope_max_m,selection_positive_run_min_max_m,selection_normal_threshold_margin_m,selection_positive_threshold_margin_m,selection_minimum_threshold_margin_m,selection_mean_physical_onset_latency_ms,selection_median_physical_onset_latency_ms,selection_p95_physical_onset_latency_ms,selection_max_physical_onset_latency_ms,selection_partition_pass,internal_validation_normal_runs,internal_validation_normal_false_positive_runs,internal_validation_normal_false_positive_samples,internal_validation_positive_runs,internal_validation_physical_positive_runs,internal_validation_detected_positive_runs,internal_validation_detected_speed_count,internal_validation_detected_speeds_mps,internal_validation_air_positive_count,internal_validation_post_fall_positive_count,internal_validation_touchdown_transient_positive_count,internal_validation_normal_envelope_max_m,internal_validation_positive_run_min_max_m,internal_validation_normal_threshold_margin_m,internal_validation_positive_threshold_margin_m,internal_validation_minimum_threshold_margin_m,internal_validation_mean_physical_onset_latency_ms,internal_validation_median_physical_onset_latency_ms,internal_validation_p95_physical_onset_latency_ms,internal_validation_max_physical_onset_latency_ms,internal_validation_partition_pass,fold_pass,all_folds_pass,sufficient_margin,selection_score,tie_break_rank,selected
0.015,20,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.0017893912624018272,0.059411273638617534,0.0017893912624018272,45.86666666666667,38.5,115.19999999999999,205.0,True,9,3,177,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,-0.0017711604303823833,0.13936815172543593,-0.0017711604303823833,45.80769230769231,32.0,101.0,227.0,False,False,False,False,,,False
0.015,20,2,0|1,2,18,3,177,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,-0.0017711604303823833,0.11539369439768711,-0.0017711604303823833,45.96296296296296,34.0,116.39999999999998,227.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.0017893912624018272,0.059411273638617534,0.0017893912624018272,45.65625,40.5,74.25,205.0,True,False,False,False,,,False
0.02,3,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.0032288395696176177,0.05441127363861753,0.0032288395696176177,31.939393939393938,22.5,71.75,202.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.011066560478303603,0.1103936943976871,0.011066560478303603,28.945945945945947,22.0,97.79999999999998,105.0,True,True,True,False,,,False
0.02,3,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,30.714285714285715,22.0,91.40000000000002,202.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.0032288395696176177,0.13436815172543595,0.0032288395696176177,31.307692307692307,23.0,70.75,108.0,True,True,True,False,,,False
0.02,3,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,29.92063492063492,23.0,96.29999999999998,108.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,32.35,20.5,68.49999999999997,202.0,True,True,True,False,,,False
0.02,5,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.0032288395696176177,0.05441127363861753,0.0032288395696176177,34.516129032258064,25.0,74.74999999999997,204.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.011066560478303603,0.1103936943976871,0.011066560478303603,32.88235294117647,26.0,103.35,107.0,True,True,True,False,,,False
0.02,5,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,33.971830985915496,25.0,97.5,204.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.0032288395696176177,0.13436815172543595,0.0032288395696176177,33.84,25.0,73.19999999999997,110.0,True,True,True,False,,,False
0.02,5,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,33.28813559322034,25.0,103.1,110.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,34.972972972972975,24.0,71.99999999999996,204.0,True,True,True,False,,,False
0.02,10,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.0032288395696176177,0.05441127363861753,0.0032288395696176177,40.18333333333333,30.0,80.24999999999999,209.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.011066560478303603,0.1103936943976871,0.011066560478303603,39.61290322580645,33.0,110.5,115.0,True,True,True,False,,,False
0.02,10,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,40.42424242424242,32.5,106.0,209.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.0032288395696176177,0.13436815172543595,0.0032288395696176177,38.84,30.0,78.19999999999997,115.0,True,True,True,False,,,False
0.02,10,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,39.267857142857146,31.5,109.75,115.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,41.142857142857146,30.0,77.99999999999997,209.0,True,True,True,False,,,False
0.02,20,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.0032288395696176177,0.05441127363861753,0.0032288395696176177,47.04,40.0,87.74999999999999,125.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.011066560478303603,0.1103936943976871,0.011066560478303603,53.07142857142857,44.0,120.94999999999999,125.0,True,True,True,False,,,False
0.02,20,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,49.81481481481482,43.5,111.19999999999993,125.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.0032288395696176177,0.13436815172543595,0.0032288395696176177,47.833333333333336,40.0,88.64999999999998,125.0,True,True,True,False,,,False
0.02,20,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,50.65384615384615,42.5,120.35,125.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.006789391262401828,0.05441127363861753,0.006789391262401828,46.30769230769231,39.5,83.25,95.0,True,True,True,False,,,False
0.03,3,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.013228839569617616,0.044411273638617535,0.013228839569617616,48.183673469387756,39.0,108.79999999999998,136.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.021066560478303603,0.10039369439768711,0.021066560478303603,40.46153846153846,34.5,113.5,117.0,True,True,True,False,,,False
0.03,3,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,43.43636363636364,36.0,112.6,136.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.013228839569617616,0.12436815172543594,0.013228839569617616,51.2,39.0,107.55000000000001,118.0,True,True,True,False,,,False
0.03,3,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,45.130434782608695,37.0,113.5,118.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,46.10344827586207,39.0,99.19999999999995,136.0,True,True,True,False,,,False
0.03,5,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.013228839569617616,0.044411273638617535,0.013228839569617616,50.93333333333333,41.0,111.39999999999999,138.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.021066560478303603,0.10039369439768711,0.021066560478303603,42.46153846153846,36.5,115.5,119.0,True,True,True,False,,,False
0.03,5,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,45.925925925925924,38.5,114.69999999999999,138.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.013228839569617616,0.12436815172543594,0.013228839569617616,53.88235294117647,39.0,111.19999999999999,120.0,True,True,True,False,,,False
0.03,5,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,46.97674418604651,38.0,115.8,120.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,49.142857142857146,42.0,102.54999999999995,138.0,True,True,True,False,,,False
0.03,10,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.013228839569617616,0.044411273638617535,0.013228839569617616,56.357142857142854,46.0,124.44999999999996,143.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.021066560478303603,0.10039369439768711,0.021066560478303603,49.0,42.0,120.6,124.0,True,True,True,False,,,False
0.03,10,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,52.94117647058823,46.0,122.5,143.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.013228839569617616,0.12436815172543594,0.013228839569617616,55.75,43.5,116.75,125.0,True,True,True,False,,,False
0.03,10,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,51.63414634146341,43.0,121.0,125.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,56.73076923076923,52.0,117.0,143.0,True,True,True,False,,,False
0.03,20,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.013228839569617616,0.044411273638617535,0.013228839569617616,66.02777777777777,57.0,126.75,136.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.021066560478303603,0.10039369439768711,0.021066560478303603,61.80952380952381,54.0,131.0,134.0,True,True,True,False,,,False
0.03,20,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,63.714285714285715,58.5,130.89999999999998,136.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.013228839569617616,0.12436815172543594,0.013228839569617616,66.6,54.0,127.29999999999998,135.0,True,True,True,False,,,False
0.03,20,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,63.80555555555556,54.0,131.75,135.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.016789391262401827,0.044411273638617535,0.016789391262401827,65.61904761904762,66.0,100.0,136.0,True,True,True,False,,,False
0.05,3,0,1|2,0,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,0.03322883956961762,0.02441127363861753,0.02441127363861753,71.16666666666667,68.5,123.1,145.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.04106656047830361,0.08039369439768711,0.04106656047830361,75.95238095238095,61.0,168.0,198.0,True,True,True,True,margin=0.0244112736386;worst_p95_ms=168;mean_ms=72.6892729135,1,True
0.05,3,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.03678939126240183,0.02441127363861753,0.02441127363861753,75.6,65.0,144.1999999999999,198.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,0.03322883956961762,0.10436815172543594,0.03322883956961762,65.7,50.5,132.84999999999997,145.0,True,True,True,True,margin=0.0244112736386;worst_p95_ms=168;mean_ms=72.6892729135,1,True
0.05,3,2,0|1,2,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,0.03322883956961762,0.08039369439768711,0.03322883956961762,72.64516129032258,60.0,156.5,198.0,True,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.03678939126240183,0.02441127363861753,0.02441127363861753,75.07142857142857,71.0,112.3,124.0,True,True,True,True,margin=0.0244112736386;worst_p95_ms=168;mean_ms=72.6892729135,1,True
