outer_fold,inner_fold,reason,run_id,variation,outer_validation_member,endpoint,foot,terrain,speed_mps,phase,contact_age_ms,ipsilateral_force,contralateral_force,next_onset_distance_ms,previous_episode_distance_ms,normal_score,early_precursor_score,actionable_score,active_evidence_score,foot_score
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2539,left,sand,0.1,3,200,295.39935302734375,128.45941162109375,-1,-1,0.0065107326962806225,9.311290062183739e-09,0.9693055395842454,0.024183718408184035,0.050134997342476034
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,1529,right,sand,0.1,4,568,33.54476547241211,370.21002197265625,-1,-1,1.3246054001491368e-05,1.390912243932854e-08,0.9720039533014637,0.027982786735412195,0.040504182980148
0,0,high_normal,ice_native_0p10_v01,1,False,2459,right,ice,0.1,3,127,272.36505126953125,0.0,-1,309,3.2396600670577976e-10,3.656071092709678e-14,0.9720422886197252,0.02795771105627247,0.9914413649924984
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,False,1319,right,sand,0.1,3,113,228.69602966308594,304.8965759277344,-1,-1,0.00029320352903920976,0.009392687402493155,0.9721392739720923,0.018174835096375196,0.008036433816386832
0,0,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,4,False,1539,right,sand,0.1,3,573,33.5237922668457,366.1319580078125,-1,-1,2.3085519380737877e-06,2.454942541103017e-09,0.9730387691724026,0.02695891982071664,0.20480750699744898
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,1879,left,sand,0.1,2,11,79.67757415771484,360.628662109375,-1,-1,6.670953205694555e-07,3.54055914865389e-20,0.9731071067046239,0.026892226200055488,3.293919491036402e-12
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2599,left,sand,0.1,3,260,358.5223388671875,165.05477905273438,-1,-1,0.007407616485268905,4.9028553502204744e-08,0.9739524657666692,0.018639868719508436,0.012814151477293768
0,0,high_normal,ice_native_0p20_v01,1,False,1439,right,ice,0.2,2,25,264.0982666015625,0.0,-1,25,0.02588815889056634,1.2630112832968415e-09,0.9741040380559879,7.801790434521944e-06,0.0010573585907919403
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,False,1589,left,sand,0.15,3,41,162.82546997070312,129.11727905273438,-1,-1,2.0450417838651422e-15,2.794490972489123e-25,0.9756316184974801,0.024368381502517848,5.774055520036593e-06
0,0,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,4,False,2549,left,sand,0.1,3,210,324.08984375,128.17742919921875,-1,-1,0.005844279456737895,4.479040965931268e-09,0.9758278061223392,0.018327909941881958,0.06335321315547932
