family,seed,fold,run_id,variation,terrain,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,post_fall_positive_attribution
S4-A,202608221,2,ice_native_0p10_v02,2,ice,0.1,right,48,2816,3000,1,True,False,,,,,False
S4-A,202608221,2,sand_solref_interpolation_2of3_0p10_v02,2,sand,0.1,left,2,1946,1969,1,True,False,,,,,False
S4-A,202608221,2,sand_solref_interpolation_2of3_0p10_v02,2,sand,0.1,right,3,1962,1970,1,True,True,1949,13,0,,False
S4-A,202608221,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,2,sand,0.1,left,2,1948,1980,1,True,False,,,,,False
S4-A,202608221,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,sand,0.1,left,2,1894,1943,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,left,1,250,339,1,True,True,229,21,0,True,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,left,2,424,446,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,left,16,1528,1576,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,left,30,2121,2201,2,True,True,2119,2,0,True,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,right,7,435,653,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,right,20,1100,1232,1,True,True,1019,81,0,True,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,right,20,1329,1340,1,False,False,,,,,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,right,25,1633,1763,1,True,True,1649,-16,16,True,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,right,27,1870,1934,2,True,True,1909,-39,39,True,False
S4-A,202608221,2,ice_native_0p15_v02,2,ice,0.15,right,35,2502,2518,1,True,False,,,,False,False
S4-A,202608221,2,ice_native_0p20_v02,2,ice,0.2,left,1,251,336,1,True,True,229,22,0,True,False
S4-A,202608221,2,ice_native_0p20_v02,2,ice,0.2,left,2,410,470,2,True,False,,,,False,False
S4-A,202608221,2,ice_native_0p20_v02,2,ice,0.2,right,1,153,173,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p20_v02,2,ice,0.2,right,7,424,446,1,True,True,399,25,0,True,False
S4-A,202608221,2,ice_native_0p20_v02,2,ice,0.2,right,23,1092,1253,1,True,True,1019,73,0,True,False
S4-A,202608221,2,ice_native_0p20_v02,2,ice,0.2,right,74,2312,2382,1,True,False,,,,,False
S4-A,202608221,2,ice_native_0p20_v02,2,ice,0.2,right,83,2858,2976,1,True,True,2879,-21,21,False,False
S4-A,202608221,2,sand_solref_interpolation_2of3_0p20_v02,2,sand,0.2,left,1,1137,1330,1,True,True,1069,68,0,,False
S4-A,202608221,2,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,2,sand,0.2,left,1,982,1334,1,True,True,1159,-177,177,,False
S4-A,202608221,2,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,2,sand,0.2,left,1,936,1338,1,True,True,1159,-223,223,,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,left,0,134,145,1,True,False,,,,,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,left,7,505,693,2,True,False,,,,False,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,left,20,1090,1155,1,True,True,1109,-19,19,True,False
