family,seed,fold,run_id,variation,terrain,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,post_fall_positive_attribution
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,left,33,1638,1649,1,True,True,1599,39,0,True,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,left,63,2308,2380,1,True,False,,,,,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,left,71,2670,2711,1,True,True,2699,-29,29,True,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,1,223,312,1,True,False,,,,,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,2,367,378,1,True,False,,,,,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,9,631,879,2,True,True,819,-188,188,True,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,10,932,945,1,True,True,919,13,0,True,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,20,1255,1356,3,True,True,1219,36,0,True,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,21,1504,1526,1,True,True,1479,25,0,True,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,39,1835,1911,1,True,False,,,,,False
S4-A,202608222,0,ice_native_0p10_v00,0,ice,0.1,right,55,2599,2619,1,True,False,,,,,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,left,7,472,473,1,True,True,439,33,0,True,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,left,8,504,664,2,True,False,,,,False,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,left,22,914,1094,1,True,False,,,,False,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,left,37,1629,1694,2,True,True,1599,30,0,True,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,left,40,2282,2426,4,True,False,,,,,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,right,1,224,368,4,True,False,,,,,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,right,8,603,913,2,True,True,839,-236,236,True,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,right,21,1288,1418,1,True,True,1239,49,0,True,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,right,23,1505,1506,1,True,False,,,,,False
S4-A,202608222,0,ice_native_0p15_v00,0,ice,0.15,right,35,1850,2028,1,True,False,,,,,False
