family,seed,fold,run_id,foot,contact_loss_resets,touchdown_resets,score_recovery_resets,previous_episode_latch_carryover,cross_foot_owner_mutations,simultaneous_crossings,simultaneous_selected_left,simultaneous_selected_right,median_simultaneous_score_difference
S4-C,202608222,0,marble_native_0p20_v03,left,113,8,0,0,0,0,0,0,-1.0
S4-C,202608222,0,marble_native_0p20_v03,right,132,11,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p20_v03,left,111,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,concrete_native_0p20_v03,right,132,7,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p20_v03,left,107,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_hardened_0p20_v03,right,128,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p20_v03,left,126,49,5,0,0,0,0,0,-1.0
S4-C,202608222,0,ice_native_0p20_v03,right,74,56,6,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p20_v03,left,106,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_1of3_0p20_v03,right,117,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p20_v03,left,106,5,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_2of3_0p20_v03,right,108,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,left,105,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,right,107,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,left,105,6,0,0,0,0,0,0,-1.0
S4-C,202608222,0,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,right,106,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p10_v01,left,131,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p10_v01,right,123,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p10_v01,left,128,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,concrete_native_0p10_v01,right,117,6,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p10_v01,left,127,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_hardened_0p10_v01,right,114,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p10_v01,left,111,51,3,0,0,0,0,0,-1.0
S4-C,202608222,1,ice_native_0p10_v01,right,77,48,3,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p10_v01,left,125,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_1of3_0p10_v01,right,105,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p10_v01,left,119,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_2of3_0p10_v01,right,96,5,0,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,left,71,5,2,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,right,87,5,1,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,left,125,3,4,0,0,0,0,0,-1.0
S4-C,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,right,180,5,1,0,0,0,0,0,-1.0
S4-C,202608222,1,marble_native_0p15_v01,left,131,5,0,0,0,0,0,0,-1.0
