family,seed,fold,run_id,raw_crossings,current_contact_owned_activations,timing_state_actionable_events,persistence_completed_detections,affected_foot_selected_detections,detected_episodes,detected_run
S4-A,202608222,1,sand_solref_interpolation_1of3_0p10_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_2of3_0p10_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,0,0,0,0,0,0,False
S4-A,202608222,1,marble_native_0p15_v01,0,0,0,0,0,0,False
S4-A,202608222,1,concrete_native_0p15_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_hardened_0p15_v01,0,0,0,0,0,0,False
S4-A,202608222,1,ice_native_0p15_v01,18,5,11,5,5,5,True
S4-A,202608222,1,sand_solref_interpolation_1of3_0p15_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_2of3_0p15_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,0,0,0,0,0,0,False
S4-A,202608222,1,marble_native_0p20_v01,0,0,0,0,0,0,False
S4-A,202608222,1,concrete_native_0p20_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_hardened_0p20_v01,0,0,0,0,0,0,False
S4-A,202608222,1,ice_native_0p20_v01,12,4,10,4,4,4,True
S4-A,202608222,1,sand_solref_interpolation_1of3_0p20_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_2of3_0p20_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v01,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v01,0,0,0,0,0,0,False
S4-A,202608222,1,marble_native_0p10_v04,0,0,0,0,0,0,False
S4-A,202608222,1,concrete_native_0p10_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_hardened_0p10_v04,0,0,0,0,0,0,False
S4-A,202608222,1,ice_native_0p10_v04,23,9,13,9,9,9,True
S4-A,202608222,1,sand_solref_interpolation_1of3_0p10_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_2of3_0p10_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,0,0,0,0,0,0,False
S4-A,202608222,1,marble_native_0p15_v04,0,0,0,0,0,0,False
S4-A,202608222,1,concrete_native_0p15_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_hardened_0p15_v04,0,0,0,0,0,0,False
S4-A,202608222,1,ice_native_0p15_v04,13,6,12,6,6,6,True
S4-A,202608222,1,sand_solref_interpolation_1of3_0p15_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_2of3_0p15_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p15_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p15_v04,0,0,0,0,0,0,False
S4-A,202608222,1,marble_native_0p20_v04,0,0,0,0,0,0,False
S4-A,202608222,1,concrete_native_0p20_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_hardened_0p20_v04,0,0,0,0,0,0,False
S4-A,202608222,1,ice_native_0p20_v04,18,5,15,5,5,5,True
S4-A,202608222,1,sand_solref_interpolation_1of3_0p20_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_2of3_0p20_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_3of4_stronger_v2_0p20_v04,0,0,0,0,0,0,False
S4-A,202608222,1,sand_solref_interpolation_5of6_stronger_v2_0p20_v04,0,0,0,0,0,0,False
S4-A,202608222,2,marble_native_0p10_v02,0,0,0,0,0,0,False
S4-A,202608222,2,concrete_native_0p10_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_hardened_0p10_v02,0,0,0,0,0,0,False
S4-A,202608222,2,ice_native_0p10_v02,31,8,14,8,8,8,True
S4-A,202608222,2,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,0,0,0,0,0,0,False
S4-A,202608222,2,marble_native_0p15_v02,0,0,0,0,0,0,False
S4-A,202608222,2,concrete_native_0p15_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_hardened_0p15_v02,0,0,0,0,0,0,False
S4-A,202608222,2,ice_native_0p15_v02,12,7,9,6,6,6,True
S4-A,202608222,2,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p15_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p15_v02,0,0,0,0,0,0,False
S4-A,202608222,2,marble_native_0p20_v02,0,0,0,0,0,0,False
S4-A,202608222,2,concrete_native_0p20_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_hardened_0p20_v02,0,0,0,0,0,0,False
S4-A,202608222,2,ice_native_0p20_v02,8,4,7,4,4,4,True
S4-A,202608222,2,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,0,0,0,0,0,0,False
S4-A,202608222,2,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,0,0,0,0,0,0,False
S4-A,202608223,0,marble_native_0p10_v00,0,0,0,0,0,0,False
S4-A,202608223,0,concrete_native_0p10_v00,0,0,0,0,0,0,False
