run_id,pair_id,pair_index,role,block,geometry_candidate,geometry_sha256,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,disposition,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only,geometry_contract_sha256,source_calibration_only_do_not_train,training_use_assigned
cal_positive_0p15_G1,v6_cal_pair_05,5,positive,calibration,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,0.15,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,0.41,0.04,0.0,202608605,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,34ea631ed3ae1c02b6e7acbe41b3ae9b80593d037ee66395a2ad1e5e4c3356f8,"{'x_min_m': -1.15, 'x_max_m': 1.85, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",61f22ae9b3067ff08b8a5a5ee242905d6f1c71930f90f9aa6e3a54c37180c5b4,35f16d3e60ecd4206c86e2454b20eef3402cc45b42c8df3f3e273fe7fbb94d0c,3a6c0004179da49802a6ed39f5aa47b681dea2e339dbfa84fa66adc572aed80a,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1692,617,0.8377659574468085,0,39,37,,,False,,0,415b2d66624b0acee9d38c6ae01c19c43b80855d20b05088c15d10a3aac48b39,False,False,False,True,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,True,False
cal_control_0p15_G1,v6_cal_pair_05,5,control,calibration,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,0.15,left,mid_late_stance,moderate_ice_preregistered,hard_normal,hard_normal,1,0.41,0.04,0.0,202608605,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,34ea631ed3ae1c02b6e7acbe41b3ae9b80593d037ee66395a2ad1e5e4c3356f8,"{'x_min_m': -1.15, 'x_max_m': 1.85, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",61f22ae9b3067ff08b8a5a5ee242905d6f1c71930f90f9aa6e3a54c37180c5b4,35f16d3e60ecd4206c86e2454b20eef3402cc45b42c8df3f3e273fe7fbb94d0c,3a6c0004179da49802a6ed39f5aa47b681dea2e339dbfa84fa66adc572aed80a,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1686,0,1.0,0,39,37,,,False,,0,2e2f8a3f2c9869124f8d908b75caeb089e8ed65b98a5227cd3882187fa25c01b,False,False,False,True,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,True,False
cal_positive_0p15_G2,v6_cal_pair_06,6,positive,calibration,G2,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,0.15,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,0.41,0.04,0.0,202608606,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,417b76aa25d92e80c0a887462ad14617bc491780d3490f8db0b0c8eb97edf561,"{'x_min_m': -1.2249999999999999, 'x_max_m': 2.2249999999999996, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",e39766437cc3b7767ce76e552f93be43f596947d63b02c44625c47fb59c5d455,b285fa0ebdbd6b37f52888fa66d5abefd1c76375c57bd194c44cfd53bc180e6d,ad51a3570a017abe7dbf13b3319f57d96896b2f137f1d5c63919e05343265a89,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1690,636,0.8327810650887575,0,39,37,,,False,,0,2bf77272565f8f5522fe54e13ae7dcceb70565a08b962c3491bd8e39c3f2a046,False,False,False,True,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,True,False
cal_control_0p15_G2,v6_cal_pair_06,6,control,calibration,G2,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,0.15,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608606,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,417b76aa25d92e80c0a887462ad14617bc491780d3490f8db0b0c8eb97edf561,"{'x_min_m': -1.2249999999999999, 'x_max_m': 2.2249999999999996, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",e39766437cc3b7767ce76e552f93be43f596947d63b02c44625c47fb59c5d455,b285fa0ebdbd6b37f52888fa66d5abefd1c76375c57bd194c44cfd53bc180e6d,ad51a3570a017abe7dbf13b3319f57d96896b2f137f1d5c63919e05343265a89,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1667,1281,0.7508398320335934,0,39,37,,,False,,0,1a0e51794eb14904a3892dc618826b8da57cb2bafdb5ed58f49bae73626b4a58,False,False,False,True,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,True,False
cal_positive_0p15_G3,v6_cal_pair_07,7,positive,calibration,G3,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,0.15,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,0.41,0.04,0.0,202608607,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,2b58239e5436b9542bfb13d752f0797f51cc4c8faf8def0c4435c2f0c5cb5b63,"{'x_min_m': -1.375, 'x_max_m': 2.0749999999999997, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",8bc607c302f3f715704c58f1da786ffb3d6b54542f25b93b844048fc42d12ab1,708838eab95d63d4492f1424d22c1fc843a4317ac2cd0f26308ba5c3d30bccfe,a43fe7ebfa1874b363592187fa4cde382057cb3c4f097035f3970f79a5409540,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1693,751,0.8022445363260483,0,39,37,,,False,,0,c8f1cc0cf3b1285038816f5f0e344ad62b318f92b258cb4512745a5baa446fc7,False,False,False,True,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,True,False
cal_control_0p15_G3,v6_cal_pair_07,7,control,calibration,G3,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,0.15,left,mid_late_stance,moderate_ice_preregistered,hard_normal,hard_normal,1,0.41,0.04,0.0,202608607,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,2b58239e5436b9542bfb13d752f0797f51cc4c8faf8def0c4435c2f0c5cb5b63,"{'x_min_m': -1.375, 'x_max_m': 2.0749999999999997, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",8bc607c302f3f715704c58f1da786ffb3d6b54542f25b93b844048fc42d12ab1,708838eab95d63d4492f1424d22c1fc843a4317ac2cd0f26308ba5c3d30bccfe,a43fe7ebfa1874b363592187fa4cde382057cb3c4f097035f3970f79a5409540,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1686,0,1.0,0,39,37,,,False,,0,03e5b008f87b69335aedea1b4708b610655c3f509b9d9f85e41580182876268c,False,False,False,True,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,True,False
cal_positive_0p20_G0,v6_cal_pair_08,8,positive,calibration,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,0.2,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,0.41,0.04,0.0,202608608,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,fb715bd70c69123565e5a77308055615287490fbec5ba730451ce78f8157d7d1,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,ba0869ed6690d6c038ec8c2374eadd6e33353cb872d695c1023cd16df3a6115e,737481c4eb00eddbd670023a31431916862ad36a5e40d7b4c8b80d86fe5e215a,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1702,865,0.7715628672150412,0,39,37,,,False,,0,1d8ce66efb775ea85c621565e2e8e2a2131a6db838dbb073e745ca52d3f29bae,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_control_0p20_G0,v6_cal_pair_08,8,control,calibration,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,0.2,left,mid_late_stance,moderate_ice_preregistered,hard_normal,hard_normal,1,0.41,0.04,0.0,202608608,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,fb715bd70c69123565e5a77308055615287490fbec5ba730451ce78f8157d7d1,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,ba0869ed6690d6c038ec8c2374eadd6e33353cb872d695c1023cd16df3a6115e,737481c4eb00eddbd670023a31431916862ad36a5e40d7b4c8b80d86fe5e215a,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1667,0,1.0,0,39,37,,,False,,0,c71a4ccc2834898099966c8cb5baadf3120fd2226dbcd4a7ddc6793ec51f18f1,False,False,False,True,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,True,False
cal_positive_0p20_G1,v6_cal_pair_09,9,positive,calibration,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,0.2,left,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,0.41,0.04,0.0,202608609,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,2eb06783bec82908e06b4954f231da355d7feffe626f6b7c876b2a4fdbe7a4c9,"{'x_min_m': -1.15, 'x_max_m': 1.85, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",61f22ae9b3067ff08b8a5a5ee242905d6f1c71930f90f9aa6e3a54c37180c5b4,00561b1e4d45101c4b70b75f9588d5579dd8737e7aeb2dda71bc529f02827828,0447561eda2c66f75a463af7ae0730a389107704063d8d2e4146dd34169e6ba6,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1700,680,0.8210588235294117,0,39,37,,,False,,0,1ae3453c3e8033da6cae8a334df6a703f157fe46f680b49bd0759925d340a95c,False,False,False,True,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,True,False
cal_control_0p20_G1,v6_cal_pair_09,9,control,calibration,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,0.2,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608609,3.0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN,2eb06783bec82908e06b4954f231da355d7feffe626f6b7c876b2a4fdbe7a4c9,"{'x_min_m': -1.15, 'x_max_m': 1.85, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",61f22ae9b3067ff08b8a5a5ee242905d6f1c71930f90f9aa6e3a54c37180c5b4,00561b1e4d45101c4b70b75f9588d5579dd8737e7aeb2dda71bc529f02827828,0447561eda2c66f75a463af7ae0730a389107704063d8d2e4146dd34169e6ba6,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1647,1241,0.7561020036429871,0,39,37,,,False,,0,77b71dbb2abde1ae916139e5557101e42eefe6f7ca1550b4ce211f3d8b107a36,False,False,False,True,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,True,False
