run_id,pair_id,role,timestamp_s,start_sample,foot,sole_geom_name,sole_geom_id,patch_geom_name,patch_geom_id,contact_position_first_xyz,contact_position_last_xyz,patch_inclusion,explicit_pair_id,effective_friction_first,effective_friction_last,effective_sliding_friction_min,effective_sliding_friction_max,contact_dimension,exclude_state,efc_address_min,efc_address_max,normal_contact_force_peak_n,tangential_contact_force_peak_n,friction_configured_before_collision,constraints_constructed_at_configuration,patch_base_double_contact,visual_only_geom,end_sample_exclusive,end_time_s_exclusive,observed_1khz_sample_count,normal_contact_force_mean_n,tangential_contact_force_mean_n,contact_anchor_position_xy,contact_anchor_drift_max_m,block,geometry_candidate,disposition
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5369999999999963,536,left,left_foot_contact_3,19,slip_patch,2,"[0.1615038382876396, 0.2242183421734757, -9.10380257790333e-07]","[0.1615038382876396, 0.2242183421734757, -9.10380257790333e-07]",True,2,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,29,29,0.0,0.0,True,False,False,False,537,0.5379999999999961,1,0.0,0.0,"[0.03524759039282799, 0.17955702543258667]",0.01488596759736538,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5329999999999967,532,left,left_foot_contact_4,20,slip_patch,2,"[0.16165966863224657, 0.16300892100271966, -4.527371614104769e-06]","[0.16215980367851923, 0.16422192895142468, -6.151917962590736e-06]",True,3,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,33,41,60.968740384974595,6.09687403849746,True,False,False,False,537,0.5379999999999961,5,25.458433810824328,2.545843381082433,"[0.03524759039282799, 0.17955702543258667]",0.01488596759736538,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.538999999999996,538,left,left_foot_contact_4,20,slip_patch,2,"[0.16248465842068077, 0.1648769005528235, -7.521307067812066e-06]","[0.1631861091276482, 0.16659880427845586, -4.216261647038699e-06]",True,3,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,41,41,67.03551932679284,6.703551932679284,True,False,False,False,544,0.5449999999999954,6,63.005989981015716,6.300598998101573,"[0.03524759039282799, 0.17955702543258667]",0.01772390678524971,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5379999999999961,537,left,left_foot_contact_2,18,slip_patch,2,"[-0.007715612190797749, 0.16773181433763432, -1.6191667428722134e-05]","[-0.0065865841325948304, 0.1708929200575601, -1.1036802399472245e-05]",True,1,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,33,33,297.8740535631536,29.78740535631536,True,False,False,False,546,0.5469999999999952,9,230.99497397601849,23.09949739760185,"[0.03524759039282799, 0.17955702543258667]",0.018558375537395477,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.538999999999996,538,left,left_foot_contact_3,19,slip_patch,2,"[0.16186167333716805, 0.22487366595410158, -1.0303829237945372e-05]","[0.16294576117322163, 0.22731794724955834, -3.9394155534888675e-06]",True,2,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,37,37,57.23152964453776,5.723152964453776,True,False,False,False,546,0.5469999999999952,8,14.146944989860053,1.4146944989860055,"[0.03524759039282799, 0.17955702543258667]",0.018558375537395477,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5379999999999961,537,left,left_foot_contact_1,17,slip_patch,2,"[-0.008248732119609303, 0.21772897206431918, -1.541795908141519e-05]","[-0.0068613506690732295, 0.22130995858907745, -1.288147023338626e-05]",True,0,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,29,29,178.32672448723784,17.832672448723784,True,False,False,False,547,0.547999999999995,10,76.7006206945339,7.670062069453391,"[0.03524759039282799, 0.17955702543258667]",0.018984243273735046,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.547999999999995,547,left,left_foot_contact_2,18,slip_patch,2,"[-0.006314840743913974, 0.17177439232338448, -2.248293189205386e-06]","[-0.005889006604678726, 0.1732111873884935, -5.315971444735945e-06]",True,1,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,29,29,298.6424523172979,29.864245231729793,True,False,False,False,551,0.5519999999999946,4,267.98469384426033,26.798469384426035,"[0.03524759039282799, 0.17955702543258667]",0.020839260891079903,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5509999999999947,550,left,left_foot_contact_3,19,slip_patch,2,"[0.16373836825783394, 0.22934988769883088, -2.8300795965885417e-06]","[0.16389831887052753, 0.22976913865251486, -4.083175364197333e-06]",True,2,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,29,33,52.81062520007677,5.281062520007677,True,False,False,False,552,0.5529999999999945,2,26.405312600038386,2.6405312600038386,"[0.03524759039282799, 0.17955702543258667]",0.02131752111017704,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5489999999999949,548,left,left_foot_contact_4,20,slip_patch,2,"[0.16385895875199386, 0.1685171963095386, -2.5546608662538328e-05]","[0.1654317543496614, 0.17282462914224744, -6.687190094306628e-06]",True,3,"[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]","[0.1, 0.1, 0.00125, 2.125e-05, 2.125e-05]",0.1,0.1,3,0,33,37,44.42886291534956,4.442886291534957,True,False,False,False,559,0.5599999999999937,11,35.858501588186286,3.5858501588186287,"[0.03524759039282799, 0.17955702543258667]",0.02496391534805298,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
cal_positive_0p10_G0,v6_cal_pair_00,positive,0.5619999999999935,561,left,left_foot_contact_4,20,slip_patch,2,"[0.16591127834248687, 0.17420400357636018, -6.552606019172291e-07]","[0.16697449595537428, 0.17822016543973837, -6.025032325926438e-06]",True,3,"[1.0, 1.0, 0.005, 0.0001, 0.0001]","[1.0, 1.0, 0.005, 0.0001, 0.0001]",1.0,1.0,3,0,33,37,53.71428180252272,50.96957469104499,True,False,False,False,656,0.656999999999983,95,34.28170527796361,14.667434151717263,"[0.03524759039282799, 0.17955702543258667]",0.03066333569586277,calibration,G0,SOURCE_CALIBRATION_ONLY_DO_NOT_TRAIN
