run_id,role,terrain,speed_mps,variation,foot,foot_index,endpoint_sample,timestamp_s,contact_episode_id,physical_episode_index,raw_risk_score,threshold,threshold_crossing,persistence_counter,hysteresis_active_state,contact_loaded,touchdown_age_ms,risk_state,evidence_persistent,activation_sample,reset_event,reset_reason,physical_onset_delta_ms,physical_active,risk_target,normal_mask,air_mask,touchdown_mask,post_fall_mask,valid_prefall_mask,first_fall_sample,violation_index,classification,next_physical_onset_sample,lead_ms,same_episode_repeated_crossing,merge_mismatch,contact_assignment_mismatch,opposite_foot_attribution_mismatch,threshold_chatter,counting_error
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,839,0.8399999999999629,15,,0.9937049749185658,0.999,False,3,True,True,123,True,True,749,False,none,236,False,False,True,False,False,False,True,,27,genuinely_over_100ms_before_next_independent_physical_episode,1075,236,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,849,0.8499999999999618,15,,0.986676722777377,0.999,False,3,True,True,133,True,True,749,False,none,226,False,False,True,False,False,False,True,,28,genuinely_over_100ms_before_next_independent_physical_episode,1075,226,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,859,0.8599999999999607,15,,0.9914584684937464,0.999,False,3,True,True,143,True,True,749,False,none,216,False,False,True,False,False,False,True,,29,genuinely_over_100ms_before_next_independent_physical_episode,1075,216,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,869,0.8699999999999596,15,,0.9969229486276543,0.999,False,3,True,True,153,True,True,749,False,none,206,False,False,True,False,False,False,True,,30,genuinely_over_100ms_before_next_independent_physical_episode,1075,206,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,879,0.8799999999999585,15,,0.9992871336818963,0.999,True,3,True,True,163,True,True,749,False,none,196,False,False,True,False,False,False,True,,31,genuinely_over_100ms_before_next_independent_physical_episode,1075,196,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,889,0.8899999999999574,15,,0.998450662622824,0.999,False,3,True,True,173,True,True,749,False,none,186,False,False,True,False,False,False,True,,32,genuinely_over_100ms_before_next_independent_physical_episode,1075,186,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,899,0.8999999999999563,15,,0.9925777272463504,0.999,False,3,True,True,183,True,True,749,False,none,176,False,False,True,False,False,False,True,,33,genuinely_over_100ms_before_next_independent_physical_episode,1075,176,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,909,0.9099999999999552,15,,0.9826464494013423,0.999,False,3,True,True,193,True,True,749,False,none,166,False,False,True,False,False,False,True,,34,genuinely_over_100ms_before_next_independent_physical_episode,1075,166,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,919,0.9199999999999541,15,,0.9837138791842157,0.999,False,3,True,True,203,True,True,749,False,none,156,False,False,True,False,False,False,True,,35,genuinely_over_100ms_before_next_independent_physical_episode,1075,156,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,929,0.929999999999953,15,,0.9887553674009152,0.999,False,3,True,True,213,True,True,749,False,none,146,False,False,True,False,False,False,True,,36,genuinely_over_100ms_before_next_independent_physical_episode,1075,146,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,939,0.9399999999999519,15,,0.98438245638116,0.999,False,3,True,True,223,True,True,749,False,none,136,False,False,True,False,False,False,True,,37,genuinely_over_100ms_before_next_independent_physical_episode,1075,136,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,949,0.9499999999999508,15,,0.9627005560334038,0.999,False,3,True,True,233,True,True,749,False,none,126,False,False,True,False,False,False,True,,38,genuinely_over_100ms_before_next_independent_physical_episode,1075,126,False,False,False,False,False,False
ice_native_0p20_v04,slip_candidate,ice,0.2,4,right,1,959,0.9599999999999497,15,,0.9538583052320232,0.999,False,3,True,True,243,True,True,749,False,none,116,False,False,True,False,False,False,True,,39,genuinely_over_100ms_before_next_independent_physical_episode,1075,116,False,False,False,False,False,False
