run_id,role,terrain,speed_mps,variation,foot,foot_index,endpoint_sample,timestamp_s,contact_episode_id,physical_episode_index,raw_risk_score,threshold,threshold_crossing,persistence_counter,hysteresis_active_state,contact_loaded,touchdown_age_ms,risk_state,evidence_persistent,activation_sample,reset_event,reset_reason,physical_onset_delta_ms,physical_active,risk_target,normal_mask,air_mask,touchdown_mask,post_fall_mask,valid_prefall_mask,first_fall_sample,violation_index,primary_classification,actual_positive_state_after_first_fall_boundary,masked_sample_wrongly_in_legacy_invalid_numerator,state_output_exists_but_evaluation_excluded,contact_loss_reset_failure,new_touchdown_reset_failure,episode_boundary_reset_failure,reporting_numerator_denominator_error
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,2039,2.0399999999998486,3,,0.993445663227897,0.999,False,3,True,True,122,True,True,1949,False,none,,False,False,False,False,False,True,False,1913,28,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1909,1.9099999999998452,3,,0.9999999999999996,0.999,True,3,True,True,40,True,True,1909,False,none,,False,False,False,False,False,True,False,1865,29,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1919,1.919999999999844,3,,0.9999999999999281,0.999,True,3,True,True,50,True,True,1909,False,none,,False,False,False,False,False,True,False,1865,30,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1929,1.929999999999843,3,,0.999999999999851,0.999,True,3,True,True,60,True,True,1909,False,none,,False,False,False,False,False,True,False,1865,31,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1939,1.9399999999998419,3,,0.9999999999999962,0.999,True,3,True,True,70,True,True,1909,False,none,,False,False,False,False,False,True,False,1865,32,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1949,1.9499999999998407,3,,0.9999999999751126,0.999,True,3,True,True,80,True,True,1909,False,none,,False,False,False,False,False,True,False,1865,33,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,left,0,1959,1.9599999999998396,3,,0.999999999996436,0.999,True,3,True,True,90,True,True,1909,False,none,,False,False,False,False,False,True,False,1865,34,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,right,1,2019,2.019999999999842,4,,0.999999999934577,0.999,True,3,True,True,31,True,True,2019,False,none,,False,False,False,False,False,True,False,1865,35,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,right,1,2029,2.0299999999998453,4,,0.9999999979008569,0.999,True,3,True,True,41,True,True,2019,False,none,,False,False,False,False,False,True,False,1865,36,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,right,1,2039,2.0399999999998486,4,,0.9999999991289221,0.999,True,3,True,True,51,True,True,2019,False,none,,False,False,False,False,False,True,False,1865,37,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,right,1,2049,2.049999999999852,4,,0.9999999999945093,0.999,True,3,True,True,61,True,True,2019,False,none,,False,False,False,False,False,True,False,1865,38,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,right,1,2059,2.0599999999998553,4,,0.9999998387746529,0.999,True,3,True,True,71,True,True,2019,False,none,,False,False,False,False,False,True,False,1865,39,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,sand,0.15,3,right,1,2069,2.0699999999998586,4,,0.999999999997929,0.999,True,3,True,True,81,True,True,2019,False,none,,False,False,False,False,False,True,False,1865,40,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2959,2.960000000000156,34,,0.9999999999983173,0.999,True,3,True,True,34,True,True,2959,False,none,,False,False,False,False,False,True,False,2751,41,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2969,2.970000000000159,34,,0.9999999999135778,0.999,True,3,True,True,44,True,True,2959,False,none,,False,False,False,False,False,True,False,2751,42,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2979,2.9800000000001625,34,,0.999999998491172,0.999,True,3,True,True,54,True,True,2959,False,none,,False,False,False,False,False,True,False,2751,43,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2989,2.990000000000166,34,,0.9999999999464537,0.999,True,3,True,True,64,True,True,2959,False,none,,False,False,False,False,False,True,False,2751,44,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2999,3.000000000000169,34,,0.999999999182124,0.999,True,3,True,True,74,True,True,2959,False,none,,False,False,False,False,False,True,False,2751,45,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2969,2.970000000000159,6,,0.9999999999999996,0.999,True,3,True,True,34,True,True,2969,False,none,,False,False,False,False,False,True,False,2781,46,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2979,2.9800000000001625,6,,0.9999999999999407,0.999,True,3,True,True,44,True,True,2969,False,none,,False,False,False,False,False,True,False,2781,47,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2989,2.990000000000166,6,,0.9999999999999409,0.999,True,3,True,True,54,True,True,2969,False,none,,False,False,False,False,False,True,False,2781,48,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,left,0,2999,3.000000000000169,6,,0.9999999999993638,0.999,True,3,True,True,64,True,True,2969,False,none,,False,False,False,False,False,True,False,2781,49,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,right,1,2969,2.970000000000159,4,,0.9999988586386239,0.999,True,3,True,True,842,True,True,2969,False,none,,False,False,False,False,False,True,False,2781,50,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,right,1,2979,2.9800000000001625,4,,0.9997579165908097,0.999,True,3,True,True,852,True,True,2969,False,none,,False,False,False,False,False,True,False,2781,51,state_update_continued_after_censor,True,True,True,False,False,False,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sink_candidate,sand,0.1,4,right,1,2989,2.990000000000166,4,,0.9602832047642458,0.999,False,3,True,True,862,True,True,2969,False,none,,False,False,False,False,False,True,False,2781,52,state_update_continued_after_censor,True,True,True,False,False,False,True
