row_type,evaluation_role,phase_segment_counts,sample_agreement,touchdown_events,touchdown_detected,touchdown_latency_median_ms,touchdown_latency_p95_abs_ms,contact_state_ready,diagnostic_phase,inferred_phase,sample_count,run_id,episode_index,physical_touchdown_sample,inferred_touchdown_sample,phase_inference_latency_ms
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,0,65,65,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,1,792,792,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,2,1373,1373,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,3,1977,1977,0
touchdown_timing,,,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,4,2576,2576,0
touchdown_timing,,,,,,,,,,,,marble_native_0p15_v02,0,139,139,0
touchdown_timing,,,,,,,,,,,,marble_native_0p15_v02,1,511,511,0
touchdown_timing,,,,,,,,,,,,marble_native_0p15_v02,2,799,799,0
touchdown_timing,,,,,,,,,,,,marble_native_0p15_v02,3,1389,1389,0
touchdown_timing,,,,,,,,,,,,marble_native_0p15_v02,4,1993,1993,0
touchdown_timing,,,,,,,,,,,,marble_native_0p15_v02,5,2591,2591,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p15_v02,0,140,140,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p15_v02,1,801,801,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p15_v02,2,1395,1395,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p15_v02,3,1999,1999,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p15_v02,4,2596,2596,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p15_v02,0,120,120,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p15_v02,1,136,136,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p15_v02,2,506,799,293
touchdown_timing,,,,,,,,,,,,sand_hardened_0p15_v02,3,799,799,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p15_v02,4,1383,1383,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p15_v02,5,1986,1986,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p15_v02,6,2585,2585,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,0,78,78,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,1,175,175,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,2,197,197,0
touchdown_timing,,,,,,,,,,,,ice_native_0p15_v02,3,244,244,0
