architecture,seed,threshold,persistence_endpoints,hysteresis,run_id,role,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,first_actionable,post_reflex_counterfactual,detected,first_detection_sample,warning_margin_ms,affected_foot_correct
S1,202608211,0.999,3,0.05,ice_native_0p15_v04,slip_candidate,0.15,right,63,2829,2838,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,0,227,259,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,5,632,634,1,True,False,True,589,43,True
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,6,664,666,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,7,692,720,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,8,770,822,3,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,50,1154,1235,1,True,False,True,1189,-35,True
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,58,1922,1925,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,72,2503,2597,2,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,left,78,2997,3000,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,right,4,358,372,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,right,15,1075,1198,1,True,False,True,1079,-4,True
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,right,25,1503,1639,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,right,49,2339,2344,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,right,69,2627,2764,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v04,slip_candidate,0.2,right,70,2805,2809,1,True,False,False,,,
