run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
ice_native_0p10_v04,1,0.1,right,59,2609,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,left,44,2402,True,2519,117,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,right,2,1837,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,right,3,2050,True,2179,129,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,right,5,2615,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,1,0.1,right,3,1856,True,1799,-57,True,True,True
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,1,0.1,right,4,2486,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,1,0.1,right,3,1855,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,1,0.1,right,4,2468,False,,,False,False,False
ice_native_0p15_v04,1,0.15,left,0,232,True,219,-13,True,True,True
ice_native_0p15_v04,1,0.15,left,8,625,True,579,-46,True,True,True
ice_native_0p15_v04,1,0.15,left,32,1289,False,,,False,False,False
ice_native_0p15_v04,1,0.15,left,41,1795,True,1749,-46,True,True,True
ice_native_0p15_v04,1,0.15,right,3,351,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,19,1070,True,1029,-41,True,True,True
ice_native_0p15_v04,1,0.15,right,39,1487,True,1549,62,False,False,False
ice_native_0p15_v04,1,0.15,right,40,1649,True,1619,-30,True,True,True
ice_native_0p15_v04,1,0.15,right,50,2014,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,51,2244,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,62,2542,True,2659,117,False,False,False
ice_native_0p15_v04,1,0.15,right,63,2829,False,,,False,False,False
ice_native_0p20_v04,1,0.2,left,0,227,True,219,-8,True,True,True
ice_native_0p20_v04,1,0.2,left,5,632,True,579,-53,True,True,True
ice_native_0p20_v04,1,0.2,left,6,664,False,,,False,False,False
ice_native_0p20_v04,1,0.2,left,7,692,False,,,False,False,False
ice_native_0p20_v04,1,0.2,left,8,770,False,,,False,False,False
ice_native_0p20_v04,1,0.2,left,50,1154,True,1079,-75,True,True,True
ice_native_0p20_v04,1,0.2,left,58,1922,True,1909,-13,True,True,True
ice_native_0p20_v04,1,0.2,left,72,2503,False,,,False,False,False
ice_native_0p20_v04,1,0.2,left,78,2997,False,,,False,False,False
ice_native_0p20_v04,1,0.2,right,4,358,False,,,False,False,False
ice_native_0p20_v04,1,0.2,right,15,1075,True,1039,-36,True,True,True
ice_native_0p20_v04,1,0.2,right,25,1503,True,1459,-44,True,True,True
ice_native_0p20_v04,1,0.2,right,49,2339,False,,,False,False,False
ice_native_0p20_v04,1,0.2,right,69,2627,True,2599,-28,True,True,True
ice_native_0p20_v04,1,0.2,right,70,2805,False,,,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v0,0,0.1,left,0,143,False,,,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v0,0,0.1,left,29,1063,True,999,-64,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v0,0,0.1,left,31,1249,True,1249,0,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v0,0,0.1,left,44,1614,True,1549,-65,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v1,1,0.1,left,13,881,True,839,-42,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v1,1,0.1,left,14,953,False,,,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v1,1,0.1,left,16,1027,False,,,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v1,1,0.1,left,24,1214,True,1329,115,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v2,2,0.1,left,1,234,False,,,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v2,2,0.1,left,6,712,True,679,-33,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v2,2,0.1,left,13,864,True,859,-5,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v2,2,0.1,left,19,1200,True,1139,-61,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v2,2,0.1,left,20,1351,False,,,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v2,2,0.1,left,37,1730,True,1729,-1,True,True,True
positive_0p10_left_early_loading_native_strong_ice_v2,2,0.1,left,38,1792,False,,,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0,0.1,left,3,695,False,,,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0,0.1,left,6,1218,True,1179,-39,True,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0,0.1,left,9,1829,True,1779,-50,True,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0,0.1,left,12,2444,True,2389,-55,True,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,1,0.1,left,1,442,False,,,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,1,0.1,left,2,1060,True,999,-61,True,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,1,0.1,left,7,2262,True,2239,-23,True,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,1,0.1,left,10,2833,True,2779,-54,True,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,2,0.1,left,0,301,False,,,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,2,0.1,left,3,823,True,749,-74,True,True,True
