endpoint_row,sample,foot,runtime_episode_id,physical_episode_id,normal_score,early_score,actionable_score,active_score,foot_score,proposal_score,persistence_count,valid_mask,prefall_mask,loaded_mask,touchdown_mask,transition_case,unique_g0_owner,data_quality_valid,run_id,fold,speed_mps,post_fall,invalid,wrong_case,owner_mismatch,latency_ms,attribution
98,1179,1,16,13,2.407863056953059e-14,3.195917699810291e-11,0.5722419543164576,0.4277580456515591,0.9846275672803938,0.504912881693758,2,True,True,True,False,,False,True,ice_native_0p15_v01,1,0.15,False,False,False,True,-16,VALID_EVENT_OUTPUT
123,1429,1,17,13,1.564207976065593e-16,1.589442172250658e-11,0.9981768956722579,0.0018231043118473694,0.936961906564271,0.9979314461312204,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,234,VALID_EVENT_OUTPUT
127,1469,1,18,13,1.0622137519718284e-26,2.5751708749882974e-18,0.9955550855921431,0.0044449144078570054,0.7181244886552635,0.9991898569134706,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,274,VALID_EVENT_OUTPUT
170,1899,1,27,20,2.280533781020418e-33,4.4464986957137214e-26,0.9999999532202375,4.677976262540922e-08,0.8989785898753061,0.9997136092741445,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,,NORMAL_CONTACT_FP
178,1979,1,33,26,4.020179666621424e-25,3.2720168450330303e-21,0.99994448046598,5.551953402001447e-05,0.9987102817580084,0.9820735004103913,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,,NORMAL_CONTACT_FP
201,2209,0,48,46,7.344895536680761e-23,1.4284262919734516e-08,0.9555337462086764,0.04446623950706078,0.9957519879784915,0.9559164498291038,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,,NORMAL_CONTACT_FP
213,2329,1,47,40,7.107621933136502e-34,8.984393497722351e-10,0.9999668197190901,3.317938247057328e-05,0.9996557793066314,0.9951708561658341,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,False,False,False,False,,NORMAL_CONTACT_FP
261,2809,0,74,72,4.4226072460300935e-37,1.0646259515605815e-30,0.9999446499829364,5.535001706368215e-05,0.9998412762091029,0.892336943696479,2,True,True,True,False,,True,True,ice_native_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
111,1309,1,1,1,0.1336681825626741,0.2566509279892976,0.6096661333393842,1.4756108644129108e-05,0.9927895332704749,0.45314557642450237,2,True,True,True,False,,False,True,sand_solref_interpolation_2of3_0p15_v01,1,0.15,False,False,False,True,,TOO_EARLY
172,1919,1,2,2,1.341134150922946e-45,6.227846777860528e-37,0.9942506485412627,0.005749351458737363,0.9927879156604079,0.9403774719543718,2,True,True,True,False,,False,True,sand_solref_interpolation_2of3_0p15_v01,1,0.15,False,False,False,True,133,VALID_EVENT_OUTPUT
197,2169,0,22,21,1.8226943527917153e-30,5.303814808187459e-33,0.9999999962494912,3.750508697779793e-09,0.9999947100585007,0.9999999397399494,2,True,True,True,False,,True,True,sand_solref_interpolation_2of3_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
211,2309,1,3,3,8.746705953296796e-77,3.2388403337487797e-31,0.9999999548702989,4.5129700979623235e-08,0.9992322952481704,0.9999578073443817,2,True,True,True,False,,True,True,sand_solref_interpolation_2of3_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
258,2779,1,5,5,2.6327015509609827e-197,3.68345620132411e-74,1.0,8.426057629774464e-61,0.999999999998092,1.0,2,True,True,True,False,,True,True,sand_solref_interpolation_2of3_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
111,1309,1,1,1,0.06647199695153724,0.2271871365317163,0.7063319182915496,8.948225196787294e-06,0.9943359405541661,0.5603215782631581,2,True,True,True,False,,False,True,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,0.15,False,False,False,True,,TOO_EARLY
172,1919,1,2,2,2.474196998346855e-60,4.913572937942945e-45,0.9891295292470488,0.010870470752951248,0.9999895318933781,0.6775068492854727,2,True,True,True,False,,True,True,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,0.15,False,False,False,False,151,VALID_EVENT_OUTPUT
205,2249,1,3,3,2.987527010022891e-59,5.3335346614842405e-31,0.9999999981143821,1.885617861473649e-09,0.9999999150636737,0.9999999999999136,2,True,True,True,False,,True,True,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
247,2669,1,6,6,9.119467308999793e-113,5.235440206216601e-36,0.9999999999545872,4.541270552210693e-11,1.0,0.9999999999999998,2,True,True,True,False,,True,True,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
111,1309,1,1,1,0.02927732836157218,0.2303769462809645,0.7403385182051049,7.207152358435291e-06,0.9951613785999939,0.6102367641423115,2,True,True,True,False,,False,True,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,0.15,False,False,False,True,,TOO_EARLY
170,1899,1,2,2,2.6590387037035836e-53,4.404978922324436e-50,0.9999270216398696,7.29783601305705e-05,0.9983715579923647,0.9897259791375836,2,True,True,True,False,,False,True,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,0.15,False,False,False,True,136,VALID_EVENT_OUTPUT
202,2219,1,3,3,6.808195500660001e-33,6.314904341003854e-25,0.9999999999963474,3.652577730610173e-12,0.9999824323856421,0.999999999353858,2,True,True,True,False,,True,True,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
240,2599,1,5,5,1.7469897757655737e-116,6.358458088131097e-42,1.0,8.438052827926744e-17,1.0,1.0,2,True,True,True,False,,True,True,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,0.15,True,False,False,False,,POST_FALL_ADVISORY
15,349,0,2,2,1.239524524180516e-13,2.9596037014005805e-05,0.9992165095731239,0.0007538943897383366,0.9991374509210618,0.9871406761456363,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,-11,VALID_EVENT_OUTPUT
28,479,1,7,6,6.546150978773803e-34,1.0778254257438094e-05,0.9999892202149743,1.5307684356651118e-09,0.9549461760168474,0.9986441064228442,2,True,True,True,False,,False,True,ice_native_0p20_v01,1,0.2,False,False,False,True,-28,VALID_EVENT_OUTPUT
54,739,1,9,7,4.3679905990317654e-24,5.5548626306114784e-18,0.7887749534761371,0.21122504652386284,0.6297412212096012,0.8076434441864716,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,,NORMAL_CONTACT_FP
76,959,0,11,10,8.641505774924278e-22,0.0009395703350280883,0.9986495314500233,0.00041089821494847166,0.9149676594830546,0.8971345561007849,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,,NORMAL_CONTACT_FP
80,999,0,12,11,1.6698666991926189e-32,1.3791124188202227e-16,0.8634371735849612,0.13656282641503859,0.9963558560063503,0.8343773595783242,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,,NORMAL_CONTACT_FP
93,1129,1,22,20,1.6315837204932345e-11,2.1108310932485375e-05,0.9861220906816079,0.013856800991143654,0.9463979497063267,0.8881737399366896,2,True,True,True,False,,False,True,ice_native_0p20_v01,1,0.2,False,False,False,True,-72,VALID_EVENT_OUTPUT
124,1439,1,23,21,3.1414689466971625e-20,6.533180163443301e-22,0.9996138223565404,0.0003861776434597446,0.6747428434508936,0.9993460679379687,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,,NORMAL_CONTACT_FP
160,1799,1,36,34,6.344928933498847e-09,1.17276410228889e-08,0.9910098800124092,0.008990101915020768,0.9499926471983892,0.9992936053362019,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,-14,VALID_EVENT_OUTPUT
170,1899,1,37,35,8.699487803514923e-42,4.921493069769927e-31,0.9945719862196052,0.0054280137803948145,0.9989582482007394,0.848230508058677,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,,NORMAL_CONTACT_FP
197,2169,0,37,35,7.844878775469042e-44,1.2778929982732878e-13,0.9999996707611183,3.2923875384845933e-07,0.998243723147326,0.9999986051548089,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,-33,VALID_EVENT_OUTPUT
206,2259,1,58,56,3.416950987586282e-13,2.8316814512904157e-09,0.9999999970624289,1.0554809999159653e-10,0.9853615755533081,0.9999566585325821,2,True,True,True,False,,False,True,ice_native_0p20_v01,1,0.2,False,False,False,True,-24,VALID_EVENT_OUTPUT
211,2309,1,59,57,4.452927416726243e-07,0.09819932411231137,0.9017994331903787,7.974045683268664e-07,0.9354943818636394,0.9656375063320559,2,True,True,True,False,,False,True,ice_native_0p20_v01,1,0.2,False,False,False,True,,NORMAL_CONTACT_FP
238,2579,1,62,58,1.4781734412897103e-20,4.1514493618102395e-16,0.6219436223970659,0.3780563776029337,0.7459502355683774,0.6671293297862646,2,True,True,True,False,,True,True,ice_native_0p20_v01,1,0.2,False,False,False,False,-7,VALID_EVENT_OUTPUT
276,2959,1,81,77,0.00890197554680566,0.004687096645228197,0.9458236922622055,0.04058723554576063,0.9410811612117075,0.8385190320048502,2,True,True,True,False,,False,True,ice_native_0p20_v01,1,0.2,False,False,False,True,,NORMAL_CONTACT_FP
3,229,0,1,1,9.069271463390248e-13,3.5932110888298453e-07,0.9999991584120316,4.822659527561211e-07,0.9270621126405963,0.9486742042331276,2,True,True,True,False,,True,True,ice_native_0p10_v02,2,0.1,False,False,False,False,-21,VALID_EVENT_OUTPUT
