run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
ice_native_0p10_v03,0,0.1,left,0,169,False,,,False,False,False
ice_native_0p10_v03,0,0.1,left,3,287,False,,,False,False,False
ice_native_0p10_v03,0,0.1,left,4,354,False,,,False,False,False
ice_native_0p10_v03,0,0.1,left,12,1359,False,,,False,False,False
ice_native_0p10_v03,0,0.1,left,54,2540,False,,,False,False,False
ice_native_0p10_v03,0,0.1,right,30,943,False,,,False,False,False
ice_native_0p10_v03,0,0.1,right,39,1627,False,,,False,False,False
ice_native_0p10_v03,0,0.1,right,55,2070,False,,,False,False,False
ice_native_0p10_v03,0,0.1,right,56,2248,False,,,False,False,False
ice_native_0p10_v03,0,0.1,right,57,2388,False,,,False,False,False
ice_native_0p10_v03,0,0.1,right,66,2972,False,,,False,False,False
ice_native_0p15_v03,0,0.15,left,0,170,False,,,False,False,False
ice_native_0p15_v03,0,0.15,left,2,270,False,,,False,False,False
ice_native_0p15_v03,0,0.15,left,16,1394,False,,,False,False,False
ice_native_0p15_v03,0,0.15,left,18,1545,False,,,False,False,False
ice_native_0p15_v03,0,0.15,left,29,2644,False,,,False,False,False
ice_native_0p15_v03,0,0.15,right,29,920,False,,,False,False,False
ice_native_0p15_v03,0,0.15,right,75,2911,False,,,False,False,False
sand_solref_interpolation_2of3_0p15_v03,0,0.15,left,2,1773,False,,,False,False,False
sand_solref_interpolation_2of3_0p15_v03,0,0.15,left,3,1911,False,,,False,False,False
sand_solref_interpolation_2of3_0p15_v03,0,0.15,right,3,1795,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,0.15,left,2,1793,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p15_v03,0,0.15,right,6,1815,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,0.15,left,2,1732,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p15_v03,0,0.15,right,3,1767,False,,,False,False,False
ice_native_0p20_v03,0,0.2,left,0,170,False,,,False,False,False
ice_native_0p20_v03,0,0.2,left,1,238,False,,,False,False,False
ice_native_0p20_v03,0,0.2,left,13,1470,False,,,False,False,False
ice_native_0p20_v03,0,0.2,left,45,2588,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,29,930,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,53,1809,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,61,2053,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,63,2242,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,71,2681,False,,,False,False,False
ice_native_0p20_v03,0,0.2,right,82,2860,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,0,237,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,7,615,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,30,1290,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,39,1794,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,75,2438,False,,,False,False,False
ice_native_0p10_v04,1,0.1,left,86,2918,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,3,348,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,4,440,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,20,890,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,39,1442,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,40,1650,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,47,2238,False,,,False,False,False
ice_native_0p10_v04,1,0.1,right,59,2609,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,left,44,2402,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,right,2,1837,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,right,3,2050,False,,,False,False,False
sand_solref_interpolation_2of3_0p10_v04,1,0.1,right,5,2615,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,1,0.1,right,3,1856,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p10_v04,1,0.1,right,4,2486,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,1,0.1,right,3,1855,False,,,False,False,False
sand_solref_interpolation_5of6_stronger_v2_0p10_v04,1,0.1,right,4,2468,False,,,False,False,False
ice_native_0p15_v04,1,0.15,left,0,232,False,,,False,False,False
ice_native_0p15_v04,1,0.15,left,8,625,False,,,False,False,False
ice_native_0p15_v04,1,0.15,left,32,1289,False,,,False,False,False
ice_native_0p15_v04,1,0.15,left,41,1795,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,3,351,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,19,1070,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,39,1487,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,40,1649,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,50,2014,False,,,False,False,False
ice_native_0p15_v04,1,0.15,right,51,2244,False,,,False,False,False
