hazard,threshold_m,persistence_ms,train_normal_runs,train_normal_false_positive_runs,train_normal_false_positive_samples,train_physical_positive_runs,train_detected_positive_runs,complete_positive_profiles_all_speeds,complete_positive_profile_count,air_positive_count,post_fall_positive_count,touchdown_transient_positive_count,normal_train_envelope_max_m,positive_train_run_min_max_m,normal_threshold_margin_m,positive_threshold_margin_m,minimum_threshold_margin_m,mean_detection_latency_ms,max_detection_latency_ms,candidate_pass,selected
sink,0.0045,5,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.00020572839673590592,0.0019039689226774724,0.00020572839673590592,6.2727272727272725,10,True,False
sink,0.0045,10,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.00020572839673590592,0.0019039689226774724,0.00020572839673590592,11.272727272727273,15,True,False
sink,0.0045,20,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.00020572839673590592,0.0019039689226774724,0.00020572839673590592,21.272727272727273,25,True,False
sink,0.005,3,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0007057283967359064,0.001403968922677472,0.0007057283967359064,6.2727272727272725,10,True,False
sink,0.005,5,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0007057283967359064,0.001403968922677472,0.0007057283967359064,8.272727272727273,12,True,False
sink,0.005,10,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0007057283967359064,0.001403968922677472,0.0007057283967359064,13.272727272727273,17,True,False
sink,0.005,20,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0007057283967359064,0.001403968922677472,0.0007057283967359064,23.272727272727273,27,True,False
sink,0.0055,3,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.001205728396735906,0.0009039689226774724,0.0009039689226774724,8.454545454545455,13,True,False
sink,0.0055,5,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.001205728396735906,0.0009039689226774724,0.0009039689226774724,10.454545454545455,15,True,False
sink,0.0055,10,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.001205728396735906,0.0009039689226774724,0.0009039689226774724,15.454545454545455,20,True,False
sink,0.0055,20,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.001205728396735906,0.0009039689226774724,0.0009039689226774724,25.454545454545453,30,True,True
sink,0.006,3,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0017057283967359064,0.00040396892267747196,0.00040396892267747196,11.909090909090908,19,True,False
sink,0.006,5,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0017057283967359064,0.00040396892267747196,0.00040396892267747196,13.909090909090908,21,True,False
sink,0.006,10,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0017057283967359064,0.00040396892267747196,0.00040396892267747196,18.90909090909091,26,True,False
sink,0.006,20,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.0017057283967359064,0.00040396892267747196,0.00040396892267747196,28.90909090909091,36,True,False
sink,0.007,3,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0027057283967359064,,,12.8,16,False,False
sink,0.007,5,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0027057283967359064,,,14.8,18,False,False
sink,0.007,10,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0027057283967359064,,,19.8,23,False,False
sink,0.007,20,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0027057283967359064,,,29.8,33,False,False
sink,0.008,3,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0037057283967359064,,,18.6,23,False,False
sink,0.008,5,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0037057283967359064,,,20.6,25,False,False
sink,0.008,10,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0037057283967359064,,,25.6,30,False,False
sink,0.008,20,18,0,0,11,5,,0,0,0,0,0.004294271603264094,,0.0037057283967359064,,,35.6,40,False,False
