run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination,variation_index,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_positive_v8_l01,v8_pair_01,positive,left,left,left,7,2827,3000,2827,,,[],0.002645752625539899,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,right,left,0,48,425,48,,,[],0.0032267910428345203,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,right,left,1,706,1024,706,,,[],0.009364064782857895,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,right,left,2,1312,1626,1312,,,[],0.007100855931639671,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,right,left,3,1910,2225,1910,,,[],0.008159774355590343,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l01,v8_pair_01,positive,left,right,left,4,2524,2864,2524,,,[],0.005338146351277828,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,0,33,143,33,,,[],0.0017891301540657878,True,,,,0,0,10,13,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,1,399,763,399,,,[],0.004891453310847282,True,,,,0,0,10,13,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,2,1026,1364,1026,,,[],0.0021176720038056374,True,,,,0,0,10,14,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,3,1632,1951,1632,,,[],0.0019601345993578434,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,4,1952,1964,1952,,,[],0.0004906050744466484,False,,,,0,0,10,12,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,5,2232,2551,2232,,,[],0.0019585329573601484,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,6,2552,2564,2552,,,[],0.0005313752335496247,False,,,,0,0,10,12,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,left,left,none,7,2832,3000,2832,,,[],0.0020190689247101545,True,,,,0,0,10,10,False,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
