candidate_id,threshold,persistence_ms,actionable_margin,hysteresis,hysteresis_effect,actionable_recall,normal_run_fp,normal_contact_episode_fp,too_early,invalid,post_fall,cross_foot,conditional_affected_foot_accuracy,verifier_acceptance_rate,diagnostic_only,selected_or_frozen,pareto_frontier,maximum_recall_with_normal_run_fp_zero,maximum_recall_with_contact_episode_fp_zero,minimum_normal_run_fp_at_recall_ge_0p80,minimum_contact_episode_fp_at_recall_ge_0p80,minimum_too_early_at_recall_ge_0p80
R1_seed_202608231,0.4,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7940552016985138,189,1806,106,135,135,88,1.0,0.037820236987868315,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.4,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7430997876857749,151,1097,64,110,110,45,1.0,0.03879845641287525,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.4,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7473460721868365,143,1068,60,110,110,45,1.0,0.037820236987868315,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.4,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6581740976645435,63,721,49,98,98,32,1.0,0.03879845641287525,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.4,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6581740976645435,60,704,46,98,98,32,1.0,0.037820236987868315,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.45,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7770700636942676,178,1713,108,134,134,81,1.0,0.03548642892079265,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.45,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7855626326963907,178,1707,104,132,132,81,1.0,0.03492772644358428,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.45,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7303609341825902,135,1010,62,109,109,40,1.0,0.03548642892079265,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.45,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7346072186836518,132,997,59,109,109,40,1.0,0.03492772644358428,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.45,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6454352441613588,54,664,45,98,98,28,1.0,0.03548642892079265,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.45,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6454352441613588,53,653,44,98,98,28,1.0,0.03492772644358428,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.5,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7834394904458599,172,1596,102,132,132,74,1.0,0.03167352955879167,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.5,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7876857749469215,172,1594,100,130,130,74,1.0,0.031492196298645095,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.5,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7154989384288747,123,924,58,107,107,37,1.0,0.03167352955879167,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.5,3,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7133757961783439,123,921,57,107,107,37,1.0,0.031492196298645095,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.5,5,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6220806794055201,38,594,40,94,94,24,1.0,0.03167352955879167,True,False,False,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.5,5,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6220806794055201,38,591,40,94,94,24,1.0,0.031492196298645095,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.55,1,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7855626326963907,167,1452,92,126,126,65,1.0,0.02761656543043125,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.55,1,0.1,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.7855626326963907,167,1452,92,126,126,65,1.0,0.02761656543043125,True,False,True,0.09554140127388536,0.0,203,1995,111
R1_seed_202608231,0.55,3,0.0,0.05,INERT_WITH_FIRST_CROSSING_PER_CONTACT_AND_NO_LATCH,0.6857749469214437,105,823,53,104,104,30,1.0,0.02761656543043125,True,False,False,0.09554140127388536,0.0,203,1995,111
