candidate_id,evaluation_scope,run_id,fold,foot,config_id,contact_loss_count,new_touchdown_count,first_fall_hard_reset_count,post_fall_mask_count,invalid_mask_count,score_recovery_count,first_fall_boundary_sample,invalid_persistence_increment_count,postfall_persistence_increment_count,contact_owner_mutation_count,latch_carryover_count
F1_seed_202608242,POOLED_OOF,marble_native_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,141,7,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,105,7,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,141,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,104,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,133,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,99,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,90,22,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,63,54,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,133,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,91,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,129,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,85,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,127,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,84,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p20_v00,0,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,127,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p20_v00,0,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,80,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,131,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,123,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,128,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,117,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,127,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,114,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,111,51,0,0,0,1,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,77,48,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,125,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,105,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,119,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,96,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,24,1,1,151,0,0,1482,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,35,3,1,151,0,0,1482,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,21,1,1,158,0,0,1414,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,25,4,1,158,0,0,1414,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,131,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,121,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,130,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,117,8,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,127,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,114,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,120,43,1,19,0,0,2805,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,97,46,1,19,0,0,2805,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,125,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_1of3_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,106,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,73,14,1,90,0,0,2092,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_2of3_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,44,3,1,90,0,0,2092,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,72,9,1,95,0,0,2040,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,41,3,1,95,0,0,2040,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,73,6,1,98,0,0,2013,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,40,3,1,98,0,0,2013,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p20_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,133,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,marble_native_0p20_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,120,7,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p20_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,133,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,concrete_native_0p20_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,120,6,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p20_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,127,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,sand_hardened_0p20_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,114,5,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,left,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,117,38,0,0,0,0,,0,0,0,0
F1_seed_202608242,POOLED_OOF,ice_native_0p20_v01,1,right,s0.85_p0.85_e0.15_n0.10_f0.60_k3_h0.00,79,58,0,0,0,1,,0,0,0,0
