row_type,funnel_stage,count,run_id,fold,source_acquisition,speed_mps,foot,contact_episode_id,onset_phase,severity,contact_duration_ms,physical_active_duration_ms,physical_onset_sample,valid_actionable_sample_count,inter_episode_gap_ms,active_segment_count,short_oracle_deactivation_gap_count,fall_censored,insufficient_200ms_history,no_valid_actionable_samples_after_masks,per_foot_contact_owned,detected_by_R1_seed_202608231,short_gap_diagnostic_only,segmentation_changed
EPISODE,,,ice_native_0p10_v01,1,existing_valid_120_bilateral_development,0.1,right,72,legacy_development,legacy_development,138,88,2912,40,763,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,existing_valid_120_bilateral_development,0.1,left,1,legacy_development,legacy_development,1049,111,1342,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,existing_valid_120_bilateral_development,0.1,left,1,legacy_development,legacy_development,1007,187,1226,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,3,legacy_development,legacy_development,251,197,359,38,,3,2,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,18,legacy_development,legacy_development,126,2,968,100,407,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,20,legacy_development,legacy_development,132,34,1107,88,138,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,23,legacy_development,legacy_development,74,13,1599,49,459,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,65,legacy_development,legacy_development,47,11,2417,26,806,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,71,legacy_development,legacy_development,37,5,2776,22,349,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,0,legacy_development,legacy_development,215,36,226,99,,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,7,legacy_development,legacy_development,389,270,517,58,253,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,13,legacy_development,legacy_development,401,277,1195,85,406,4,3,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,18,legacy_development,legacy_development,82,24,1755,48,275,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,52,legacy_development,legacy_development,31,3,2577,18,799,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_2of3_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,1,legacy_development,legacy_development,923,37,1626,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_2of3_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,2,legacy_development,legacy_development,254,228,1786,16,124,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,4,legacy_development,legacy_development,36,4,1908,22,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,1,legacy_development,legacy_development,916,61,1594,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,2,legacy_development,legacy_development,223,203,1768,10,114,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,0.15,left,4,legacy_development,legacy_development,39,10,1905,19,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,1,legacy_development,legacy_development,913,76,1575,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p15_v01,1,existing_valid_120_bilateral_development,0.15,right,2,legacy_development,legacy_development,212,193,1763,9,113,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,left,2,legacy_development,legacy_development,235,187,360,38,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,left,17,legacy_development,legacy_development,182,61,1636,99,1090,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,left,35,legacy_development,legacy_development,215,151,2202,48,506,3,2,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,right,1,legacy_development,legacy_development,69,17,265,41,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,right,6,legacy_development,legacy_development,99,48,507,41,226,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,right,20,legacy_development,legacy_development,318,213,1201,95,647,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,right,34,legacy_development,legacy_development,119,58,1813,51,400,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,right,55,legacy_development,legacy_development,36,2,2118,23,248,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,right,56,legacy_development,legacy_development,94,3,2283,81,164,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v01,1,existing_valid_120_bilateral_development,0.2,right,58,legacy_development,legacy_development,260,2,2586,98,301,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,1,legacy_development,legacy_development,74,30,250,34,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,2,legacy_development,legacy_development,175,127,326,35,47,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,12,legacy_development,legacy_development,253,44,931,100,476,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,18,legacy_development,legacy_development,245,136,1475,81,501,7,6,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,24,legacy_development,legacy_development,301,174,2101,100,473,4,3,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,45,legacy_development,legacy_development,210,108,2657,92,374,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,0,legacy_development,legacy_development,123,10,147,97,,2,1,False,True,False,True,False,True,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,6,legacy_development,legacy_development,341,241,435,57,276,3,2,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,21,legacy_development,legacy_development,271,147,1097,100,416,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,30,legacy_development,legacy_development,134,79,1645,45,402,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,31,legacy_development,legacy_development,138,30,1833,98,110,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,32,legacy_development,legacy_development,60,4,1920,45,58,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,39,legacy_development,legacy_development,341,170,2323,100,400,5,4,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,48,legacy_development,legacy_development,286,184,2816,92,312,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_2of3_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,2,legacy_development,legacy_development,1045,23,1946,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_2of3_0p10_v02,2,existing_valid_120_bilateral_development,0.1,right,3,legacy_development,legacy_development,211,8,1962,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,2,legacy_development,legacy_development,1053,32,1948,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,2,existing_valid_120_bilateral_development,0.1,left,2,legacy_development,legacy_development,1023,49,1894,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,left,1,legacy_development,legacy_development,133,89,250,34,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,left,2,legacy_development,legacy_development,106,22,424,73,86,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,left,16,legacy_development,legacy_development,202,48,1528,100,1083,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,left,30,legacy_development,legacy_development,203,77,2121,99,546,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,right,7,legacy_development,legacy_development,281,218,435,53,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,right,20,legacy_development,legacy_development,368,143,1100,100,448,2,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,right,25,legacy_development,legacy_development,160,130,1633,20,294,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,right,27,legacy_development,legacy_development,151,61,1870,76,108,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p15_v02,2,existing_valid_120_bilateral_development,0.15,right,35,legacy_development,legacy_development,74,16,2502,48,569,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v02,2,existing_valid_120_bilateral_development,0.2,left,1,legacy_development,legacy_development,130,85,251,35,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v02,2,existing_valid_120_bilateral_development,0.2,left,2,legacy_development,legacy_development,133,57,410,62,75,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p20_v02,2,existing_valid_120_bilateral_development,0.2,right,1,legacy_development,legacy_development,71,20,153,41,,1,0,False,True,False,True,False,False,False
EPISODE,,,ice_native_0p20_v02,2,existing_valid_120_bilateral_development,0.2,right,7,legacy_development,legacy_development,72,22,424,40,252,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v02,2,existing_valid_120_bilateral_development,0.2,right,23,legacy_development,legacy_development,302,161,1092,100,647,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v02,2,existing_valid_120_bilateral_development,0.2,right,74,legacy_development,legacy_development,139,70,2312,59,1060,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p20_v02,2,existing_valid_120_bilateral_development,0.2,right,83,legacy_development,legacy_development,141,118,2858,13,477,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_2of3_0p20_v02,2,existing_valid_120_bilateral_development,0.2,left,1,legacy_development,legacy_development,1046,193,1137,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_3of4_stronger_v2_0p20_v02,2,existing_valid_120_bilateral_development,0.2,left,1,legacy_development,legacy_development,1053,352,982,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,sand_solref_interpolation_5of6_stronger_v2_0p20_v02,2,existing_valid_120_bilateral_development,0.2,left,1,legacy_development,legacy_development,1060,402,936,100,,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,left,0,legacy_development,legacy_development,64,24,169,30,,1,0,False,True,False,True,False,False,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,left,3,legacy_development,legacy_development,65,7,287,47,95,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,left,4,legacy_development,legacy_development,95,36,354,48,61,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,left,12,legacy_development,legacy_development,291,223,1359,55,970,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,left,54,legacy_development,legacy_development,310,239,2540,54,956,3,2,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,right,30,legacy_development,legacy_development,314,204,943,60,,2,1,False,False,False,True,False,True,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,right,39,legacy_development,legacy_development,358,86,1627,100,478,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,right,55,legacy_development,legacy_development,128,43,2070,75,358,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,right,56,legacy_development,legacy_development,191,48,2248,100,136,1,0,False,False,False,True,False,False,False
EPISODE,,,ice_native_0p10_v03,0,existing_valid_120_bilateral_development,0.1,right,57,legacy_development,legacy_development,94,12,2388,72,93,1,0,False,False,False,True,False,False,False
