outer_fold,inner_fold,fit_fold,mining_fold,reason,identity,run_id,outer_validation_member,actionable_score,foot_score
0,0,2,1,high_normal,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1:919:0,positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,False,0.9999999999137703,9.010162022353178e-05
0,0,2,1,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04:1969:0,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,False,0.9999999999240166,1.562851579329364e-08
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1899:1,positive_0p15_left_early_loading_v1_M1,False,0.999999999927629,0.00025487218719603055
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:479:1,positive_0p15_left_early_loading_v1_M1,False,0.9999999999373506,9.904922679819017e-09
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1609:0,positive_0p15_left_early_loading_v1_M1,False,0.9999999999391636,8.246598800178305e-05
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1109:1,positive_0p20_right_early_loading_v1_M1,False,0.9999999999433151,0.02549272938669504
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1929:1,positive_0p15_left_early_loading_v1_M1,False,0.9999999999461757,0.835422386340214
0,0,2,1,high_normal,sand_solref_interpolation_3of4_stronger_v2_0p10_v04:2009:0,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,False,0.9999999999480635,0.9998474585528272
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1719:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999535918,0.9999999589742549
0,0,2,1,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04:1999:0,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,False,0.999999999956305,0.0011160718493355133
0,0,2,1,high_normal,positive_0p10_right_early_loading_v1_M1:959:0,positive_0p10_right_early_loading_v1_M1,False,0.9999999999581872,4.318930543496277e-11
0,0,2,1,high_normal,positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1:1279:1,positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1,False,0.999999999962637,0.03292265612476109
0,0,2,1,high_normal,sand_solref_interpolation_5of6_stronger_v2_0p10_v04:2029:0,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,False,0.9999999999626585,0.8470041602584317
0,0,2,1,high_normal,ice_native_0p15_v01:1989:1,ice_native_0p15_v01,False,0.9999999999632081,0.9531451276111764
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1909:1,positive_0p15_left_early_loading_v1_M1,False,0.9999999999661946,0.09666129372959943
0,0,2,1,high_normal,positive_0p15_left_early_loading_native_strong_ice_v1:619:1,positive_0p15_left_early_loading_native_strong_ice_v1,False,0.9999999999673339,0.00014166267458454168
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1649:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999681914,0.9999977330900133
0,0,2,1,high_normal,positive_0p10_left_early_loading_v1_M1:1699:1,positive_0p10_left_early_loading_v1_M1,False,0.9999999999692866,0.9999990188713082
0,0,2,1,high_normal,positive_0p15_left_early_loading_native_strong_ice_v1:579:1,positive_0p15_left_early_loading_native_strong_ice_v1,False,0.9999999999732303,7.84065633859574e-09
0,0,2,1,high_normal,positive_0p20_left_early_loading_v1_M1:1929:1,positive_0p20_left_early_loading_v1_M1,False,0.9999999999761977,0.9906839845533888
0,0,2,1,high_normal,positive_0p20_right_early_loading_v1_M1:1079:1,positive_0p20_right_early_loading_v1_M1,False,0.9999999999768105,5.0219330448009737e-05
0,0,2,1,high_normal,positive_0p15_left_early_loading_v1_M1:1869:1,positive_0p15_left_early_loading_v1_M1,False,0.9999999999812728,2.197162714494165e-07
