run_index,run_id,pair_id,role,status,full_trace_sha256,discarded,replaced,silently_relabelled
46,positive_0p10_right_early_loading_moderate_ice_preregistered_v2,v5_pair_023,positive,EXECUTED_AND_RETAINED,aff32f6e4f959af1e0ef59aca1eda001f7b29e2e516d84b50daf3526e247f4cc,False,False,False
47,control_0p10_right_early_loading_moderate_ice_preregistered_v2,v5_pair_023,control,EXECUTED_AND_RETAINED,da5b2a28648b8ff4f559cde130facb3e6f47e7f2fc402addc4580c667d90942a,False,False,False
48,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_024,positive,EXECUTED_AND_RETAINED,24e6d43328c7c9600b3a316cefda8e8bcd1f3e8dbdec4f52e8630cd5325cc613,False,False,False
49,control_0p10_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_024,control,EXECUTED_AND_RETAINED,b451603b0f96906d575ebd8c37cb99d1d261df9727c167d973b5bb5a109cfc6b,False,False,False
50,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_025,positive,EXECUTED_AND_RETAINED,f3c66b34237308bcdfd25dd8baa75788aba424060c364f55fc8fa67553fcbf25,False,False,False
51,control_0p10_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_025,control,EXECUTED_AND_RETAINED,2b073cb4286063fffd1790bfd88b2cd5560791b698724094a37b89e88658a355,False,False,False
52,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_026,positive,EXECUTED_AND_RETAINED,aaa5b99c61aa1e5813dfca53dc075034b411f3d6c998a944574c9e7c2fadfa3d,False,False,False
53,control_0p10_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_026,control,EXECUTED_AND_RETAINED,cfd5c6710d1a7fe3cb2c2df6587d13eaead0d0e57ed3732ddf9dcd964fbddee5,False,False,False
54,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_027,positive,EXECUTED_AND_RETAINED,b6c2b5ebf779243bdbdd4162d2e8a08bcb8b8cadb5ea0aeb07f6ea452d3abc3b,False,False,False
55,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_027,control,EXECUTED_AND_RETAINED,6bf39468c6e741d295124e342e6af094fe5ba096e6a8a7553b7d8f9c539dd749,False,False,False
56,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_028,positive,EXECUTED_AND_RETAINED,11d96f00cacf702736fbfcefd84cedd5b295fcd5ed65fde74a18cbd54b32a055,False,False,False
57,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_028,control,EXECUTED_AND_RETAINED,4fb37a33ce53205ca7a0741afc7b9a78bb6ef9503ebe1e4a8c82e9505f050be0,False,False,False
58,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_029,positive,EXECUTED_AND_RETAINED,ac37e90998ec0ab050db3564b6d68f45f0b92db3d6ec8895dd4931e48905a974,False,False,False
59,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_029,control,EXECUTED_AND_RETAINED,b11de1487730558e51886d08584479af4c68da12c13adde136dad070c6ec5613,False,False,False
60,positive_0p10_right_mid_late_stance_native_strong_ice_v0,v5_pair_030,positive,EXECUTED_AND_RETAINED,699053235b42dc05e9121dd94ad678ae320b154691ebcf5a60e0c27a62281470,False,False,False
61,control_0p10_right_mid_late_stance_native_strong_ice_v0,v5_pair_030,control,EXECUTED_AND_RETAINED,af80cb6d66091ebe09e78d85dc30fd53291902b91433e4b9a15dfae11e940e7e,False,False,False
62,positive_0p10_right_mid_late_stance_native_strong_ice_v1,v5_pair_031,positive,EXECUTED_AND_RETAINED,1633c8159778dce30d4225e29187bda2d73ab4db8bafcdd2a39a14517be463cf,False,False,False
63,control_0p10_right_mid_late_stance_native_strong_ice_v1,v5_pair_031,control,EXECUTED_AND_RETAINED,80770d07d0a5f5405451d96e56084cdc3f05f220ba9aeef7ab8e79f3e983b1ff,False,False,False
64,positive_0p10_right_mid_late_stance_native_strong_ice_v2,v5_pair_032,positive,EXECUTED_AND_RETAINED,78d2db7269ce877c956134f65681bab7c0908ddbd985236e1486966a6509b78c,False,False,False
65,control_0p10_right_mid_late_stance_native_strong_ice_v2,v5_pair_032,control,EXECUTED_AND_RETAINED,223f8590982ad8713d8c2e78408a4fbbfcbd022c874ba02ae535cc2871babbe9,False,False,False
66,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_033,positive,EXECUTED_AND_RETAINED,f52006239033af0c3551b2ff272334122352020bd446cee13b1e193166d9186d,False,False,False
67,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_033,control,EXECUTED_AND_RETAINED,b12aead4287d997d3553643c151996547e2ed679eabc8a9f3c0d3ddfa047df05,False,False,False
68,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_034,positive,EXECUTED_AND_RETAINED,5ee3bcf242f28c3798c13ca7e7add90c5be80800073b268a1394030757187359,False,False,False
69,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_034,control,EXECUTED_AND_RETAINED,affdbdf3ffbf8b8245f31908911ae720dd92a5922bffc600204d2ca6ae7c6f13,False,False,False
70,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_035,positive,EXECUTED_AND_RETAINED,54e5cbc656f67edb947128d74f5adb1062c255d4046ce741e5e1424f8bc83921,False,False,False
71,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_035,control,EXECUTED_AND_RETAINED,31700854dedf4e17a1571a3ac586658230c4974f458f8558c2685ed896388125,False,False,False
72,positive_0p15_left_early_loading_native_strong_ice_v0,v5_pair_036,positive,EXECUTED_AND_RETAINED,35f6dedde82cca8b930382ef6181df2d038a2a85caef12bc83c9e2510d3d16ac,False,False,False
73,control_0p15_left_early_loading_native_strong_ice_v0,v5_pair_036,control,EXECUTED_AND_RETAINED,69e20431af0ee42b57da58c2617789985bf3f7d9687e959c3d2e8f7791c7a496,False,False,False
74,positive_0p15_left_early_loading_native_strong_ice_v1,v5_pair_037,positive,EXECUTED_AND_RETAINED,c605058c8e7143b07bcf4455e4c4049234012089e513fff7a6294a5cff9f3d40,False,False,False
75,control_0p15_left_early_loading_native_strong_ice_v1,v5_pair_037,control,EXECUTED_AND_RETAINED,467270b2c2569edc84f530ce6bfeb0eeaaced133966c44cdc6b1f914b02d815b,False,False,False
76,positive_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,positive,EXECUTED_AND_RETAINED,bed44e780a2a2e682375f8991b52909d8fecaf5638461beb8c04ce6a0933baa2,False,False,False
77,control_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,control,EXECUTED_AND_RETAINED,7c9a7921d3a97ce381420379e0365697f65b03abc42e49c9b76dfc23d9cb8527,False,False,False
78,positive_0p15_left_early_loading_moderate_ice_preregistered_v0,v5_pair_039,positive,EXECUTED_AND_RETAINED,3f90c8114e61aff2c0f0280cd404babd3780ed2c73dd5ab3fa1391a9a4172544,False,False,False
79,control_0p15_left_early_loading_moderate_ice_preregistered_v0,v5_pair_039,control,EXECUTED_AND_RETAINED,482b23467c1d06e3ab1ef0ff3f42e2ac94caf5ebc9a8601ce57187b9d5efcf07,False,False,False
80,positive_0p15_left_early_loading_moderate_ice_preregistered_v1,v5_pair_040,positive,EXECUTED_AND_RETAINED,42c5ad331f9055476881c71350bf999c343ae498e38644c5ea95dfd1f0851efa,False,False,False
81,control_0p15_left_early_loading_moderate_ice_preregistered_v1,v5_pair_040,control,EXECUTED_AND_RETAINED,d3317d655fa685748fe27042e8f5d4e5d6b8d8c49cd6065572474fd3de8ac5b3,False,False,False
