pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,first_patch_contact_sample,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_generalized_state_equal,precontact_fusion20_equal,command_equal,geometry_equal,patch_location_equal,target_foot_equal,timestamps_equal,pair_configuration_equal,positive_expected_friction,control_expected_friction,positive_effective_friction_contract,control_effective_friction_contract,effective_friction_differs,postcontact_trajectory_diverged,full_trace_identical,classification,patch_base_double_contact_count,parity_pass
v5_pair_024,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,control_0p10_right_mid_loading_early_stance_native_strong_ice_v0,1349483933786dda2fc60418e48d7d61744359a77b825049cbe0f6e3294e28cf,0.1,right,mid_loading_early_stance,native_strong_ice,hard_normal,0,202608524,43,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_025,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,control_0p10_right_mid_loading_early_stance_native_strong_ice_v1,a9b815c34888a9ed7741303eceb5b966471667a1df2937e1462e61a4ea291b39,0.1,right,mid_loading_early_stance,native_strong_ice,near_slip_non_event,1,202608525,37,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_026,positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,control_0p10_right_mid_loading_early_stance_native_strong_ice_v2,f3b73547f99485663bdee2e946e56b45606b88832c65410fd46de495910d2bad,0.1,right,mid_loading_early_stance,native_strong_ice,hard_normal,2,202608526,34,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_027,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,a6750e89efca08350c2b998e5717c225e6c3d9ad4e04b3cbb4052bb453075dec,0.1,right,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,0,202608527,43,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_028,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,a6fc3ae9b6db5ff0e12bc3a3c231a4a40ff2834cb4902d913f4c884af7ef5fe9,0.1,right,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,1,202608528,37,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_029,positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,0001b4a342c4ab2345fde68ede20da80e91292dd100384a6a96b16227979ed0c,0.1,right,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,2,202608529,34,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_030,positive_0p10_right_mid_late_stance_native_strong_ice_v0,control_0p10_right_mid_late_stance_native_strong_ice_v0,17ffd698f4645860d6999a86b1002bfbd04d667b89b23994467eaf370243a898,0.1,right,mid_late_stance,native_strong_ice,near_slip_non_event,0,202608530,43,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_031,positive_0p10_right_mid_late_stance_native_strong_ice_v1,control_0p10_right_mid_late_stance_native_strong_ice_v1,4cd6c36c972e83893dc33c2f31174f21b4eb53b202c359afd0758ac402051b2c,0.1,right,mid_late_stance,native_strong_ice,hard_normal,1,202608531,37,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_032,positive_0p10_right_mid_late_stance_native_strong_ice_v2,control_0p10_right_mid_late_stance_native_strong_ice_v2,71086522bf95727cf119cc36cc0dd6b1510d04dd99abe983e4436473d3dc9423,0.1,right,mid_late_stance,native_strong_ice,near_slip_non_event,2,202608532,34,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_033,positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,32b563f18820ea17ef4193113b97457e80ecd9b448c0422253c5c2f69cfa1911,0.1,right,mid_late_stance,moderate_ice_preregistered,hard_normal,0,202608533,43,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
