run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source,maximum_target_anchor_drift_m,first_fall_censor_boundary,control_source_valid,failure_reason,failed_attempt_preserved,silently_counted_as_normal,development_only
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_029,control,0.1,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008018010295927525,,True,,True,False,True
control_0p10_right_mid_late_stance_native_strong_ice_v0,v5_pair_030,control,0.1,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006280033849179745,,True,,True,False,True
control_0p10_right_mid_late_stance_native_strong_ice_v1,v5_pair_031,control,0.1,right,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004768738988786936,,True,,True,False,True
control_0p10_right_mid_late_stance_native_strong_ice_v2,v5_pair_032,control,0.1,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00795554555952549,,True,,True,False,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_033,control,0.1,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006402129773050547,,True,,True,False,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_034,control,0.1,right,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004916169680655003,,True,,True,False,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_035,control,0.1,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008004995062947273,,True,,True,False,True
control_0p15_left_early_loading_native_strong_ice_v0,v5_pair_036,control,0.15,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0022086191456764936,,True,,True,False,True
control_0p15_left_early_loading_native_strong_ice_v1,v5_pair_037,control,0.15,left,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008540733717381954,,True,,True,False,True
control_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,control,0.15,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004943094216287136,,True,,True,False,True
control_0p15_left_early_loading_moderate_ice_preregistered_v0,v5_pair_039,control,0.15,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006932791322469711,,True,,True,False,True
control_0p15_left_early_loading_moderate_ice_preregistered_v1,v5_pair_040,control,0.15,left,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008282754570245743,,True,,True,False,True
control_0p15_left_early_loading_moderate_ice_preregistered_v2,v5_pair_041,control,0.15,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0066046579740941525,,True,,True,False,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_042,control,0.15,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0024288855493068695,,True,,True,False,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_043,control,0.15,left,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008001300506293774,,True,,True,False,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_044,control,0.15,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004843485075980425,,True,,True,False,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_045,control,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.002208102960139513,,True,,True,False,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_046,control,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008367237634956837,,True,,True,False,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_047,control,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004942651372402906,,True,,True,False,True
control_0p15_left_mid_late_stance_native_strong_ice_v0,v5_pair_048,control,0.15,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0022071886342018843,,True,,True,False,True
control_0p15_left_mid_late_stance_native_strong_ice_v1,v5_pair_049,control,0.15,left,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00801206473261118,,True,,True,False,True
control_0p15_left_mid_late_stance_native_strong_ice_v2,v5_pair_050,control,0.15,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004828036297112703,,True,,True,False,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_051,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0023626373149454594,,True,,True,False,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_052,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00827980786561966,,True,,True,False,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_053,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0043670111335814,,True,,True,False,True
control_0p15_right_early_loading_native_strong_ice_v0,v5_pair_054,control,0.15,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0068585192784667015,,True,,True,False,True
