pair_id,positive_run_id,control_run_id,speed_mps,target_foot,target_phase,severity,category,history_start_sample,history_end_sample_inclusive,future_sample_count,finite_comparison_values,mean_absolute_pair_difference,maximum_absolute_pair_difference,positive_mean,control_mean
v5_pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0.1,left,mid_loading_early_stance,native_strong_ice,target_foot_imu,495,695,0,1206,4.264848643112151,79.58212219970301,2.110150380689863,1.1168554228401546
v5_pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0.1,left,mid_loading_early_stance,native_strong_ice,contralateral_fsr,495,695,0,804,32.47683129589356,104.09748840332031,18.941311989850664,33.07180488079935
v5_pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0.1,left,mid_loading_early_stance,native_strong_ice,contralateral_imu,495,695,0,1206,2.4788991360279127,33.024844124913216,1.7760234290616312,1.4570340518735072
v5_pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0.1,left,mid_loading_early_stance,native_strong_ice,bilateral_asymmetry,495,695,0,2010,35.39819806842921,513.447883605957,20.162743964337682,9.01787550408875
v5_pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,0.1,left,mid_loading_early_stance,native_strong_ice,contact_anchor_drift_label_only,495,695,0,133,0.01569465799832671,0.05510390180279501,0.014358261707858727,0.00046842011740812824
v5_pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,0.1,left,mid_loading_early_stance,native_strong_ice,target_foot_fsr,242,442,0,804,26.29680876035373,203.61300659179688,63.86576419868576,65.43226815350539
v5_pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,0.1,left,mid_loading_early_stance,native_strong_ice,target_foot_imu,242,442,0,1206,1.8287150694033327,68.00988720916212,1.707770292252218,0.7687653134808123
v5_pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,0.1,left,mid_loading_early_stance,native_strong_ice,contralateral_fsr,242,442,0,804,0.0,0.0,22.656563239311104,22.656563239311104
v5_pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,0.1,left,mid_loading_early_stance,native_strong_ice,contralateral_imu,242,442,0,1206,0.37696202659415146,9.543188512325287,1.7760135843530334,1.7157137388720751
v5_pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,0.1,left,mid_loading_early_stance,native_strong_ice,bilateral_asymmetry,242,442,0,2010,11.678979858861707,203.61300659179688,16.442734404196916,16.5421129056373
