run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
positive_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,positive,True,1825,1.8259999999998544,fallen_base_height,1825,1175,True
control_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,control,False,,,,3000,0,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v0,v5_pair_039,positive,True,2321,2.3219999999999428,fallen_base_height,2321,679,True
control_0p15_left_early_loading_moderate_ice_preregistered_v0,v5_pair_039,control,False,,,,3000,0,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v1,v5_pair_040,positive,True,2072,2.0729999999998596,fallen_base_height,2072,928,True
control_0p15_left_early_loading_moderate_ice_preregistered_v1,v5_pair_040,control,False,,,,3000,0,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v2,v5_pair_041,positive,True,2415,2.415999999999974,fallen_base_height,2415,585,True
control_0p15_left_early_loading_moderate_ice_preregistered_v2,v5_pair_041,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_042,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_042,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_043,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_043,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_044,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_044,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_045,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_045,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_046,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_046,control,False,,,,3000,0,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_047,positive,False,,,,3000,0,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_047,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_native_strong_ice_v0,v5_pair_048,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_native_strong_ice_v0,v5_pair_048,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_native_strong_ice_v1,v5_pair_049,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_native_strong_ice_v1,v5_pair_049,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_native_strong_ice_v2,v5_pair_050,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_native_strong_ice_v2,v5_pair_050,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_051,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_051,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_052,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_052,control,False,,,,3000,0,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_053,positive,False,,,,3000,0,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_053,control,False,,,,3000,0,True
positive_0p15_right_early_loading_native_strong_ice_v0,v5_pair_054,positive,True,1399,1.3999999999999013,fallen_base_height,1399,1601,True
control_0p15_right_early_loading_native_strong_ice_v0,v5_pair_054,control,False,,,,3000,0,True
positive_0p15_right_early_loading_native_strong_ice_v1,v5_pair_055,positive,True,1299,1.2999999999999123,fallen_base_height,1299,1701,True
control_0p15_right_early_loading_native_strong_ice_v1,v5_pair_055,control,False,,,,3000,0,True
positive_0p15_right_early_loading_native_strong_ice_v2,v5_pair_056,positive,True,1514,1.5149999999998887,fallen_base_height,1514,1486,True
control_0p15_right_early_loading_native_strong_ice_v2,v5_pair_056,control,False,,,,3000,0,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v0,v5_pair_057,positive,True,1770,1.7709999999998605,fallen_base_height,1770,1230,True
control_0p15_right_early_loading_moderate_ice_preregistered_v0,v5_pair_057,control,False,,,,3000,0,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v1,v5_pair_058,positive,True,2685,2.6860000000000643,fallen_base_height,2685,315,True
control_0p15_right_early_loading_moderate_ice_preregistered_v1,v5_pair_058,control,False,,,,3000,0,True
positive_0p15_right_early_loading_moderate_ice_preregistered_v2,v5_pair_059,positive,True,2046,2.046999999999851,fallen_base_height,2046,954,True
control_0p15_right_early_loading_moderate_ice_preregistered_v2,v5_pair_059,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_060,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_060,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_061,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_061,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_062,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_062,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_063,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_063,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_064,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_064,control,False,,,,3000,0,True
positive_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_065,positive,False,,,,3000,0,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_065,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_native_strong_ice_v0,v5_pair_066,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_native_strong_ice_v0,v5_pair_066,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_native_strong_ice_v1,v5_pair_067,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_native_strong_ice_v1,v5_pair_067,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_native_strong_ice_v2,v5_pair_068,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_native_strong_ice_v2,v5_pair_068,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_069,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_069,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_070,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_070,control,False,,,,3000,0,True
positive_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_071,positive,False,,,,3000,0,True
control_0p15_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_071,control,False,,,,3000,0,True
positive_0p20_left_early_loading_native_strong_ice_v0,v5_pair_072,positive,True,1615,1.6159999999998775,fallen_base_height,1615,1385,True
control_0p20_left_early_loading_native_strong_ice_v0,v5_pair_072,control,False,,,,3000,0,True
positive_0p20_left_early_loading_native_strong_ice_v1,v5_pair_073,positive,True,1571,1.5719999999998824,fallen_base_height,1571,1429,True
control_0p20_left_early_loading_native_strong_ice_v1,v5_pair_073,control,False,,,,3000,0,True
positive_0p20_left_early_loading_native_strong_ice_v2,v5_pair_074,positive,True,1832,1.8329999999998536,fallen_base_height,1832,1168,True
control_0p20_left_early_loading_native_strong_ice_v2,v5_pair_074,control,False,,,,3000,0,True
positive_0p20_left_early_loading_moderate_ice_preregistered_v0,v5_pair_075,positive,True,2508,2.5090000000000052,fallen_base_height,2508,492,True
control_0p20_left_early_loading_moderate_ice_preregistered_v0,v5_pair_075,control,False,,,,3000,0,True
positive_0p20_left_early_loading_moderate_ice_preregistered_v1,v5_pair_076,positive,True,2024,2.0249999999998436,fallen_base_height,2024,976,True
control_0p20_left_early_loading_moderate_ice_preregistered_v1,v5_pair_076,control,False,,,,3000,0,True
positive_0p20_left_early_loading_moderate_ice_preregistered_v2,v5_pair_077,positive,True,2575,2.5760000000000276,fallen_base_height,2575,425,True
control_0p20_left_early_loading_moderate_ice_preregistered_v2,v5_pair_077,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_078,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_078,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_079,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_079,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_080,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_080,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_081,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_081,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_082,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_082,control,False,,,,3000,0,True
positive_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_083,positive,False,,,,3000,0,True
control_0p20_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_083,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_native_strong_ice_v0,v5_pair_084,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_native_strong_ice_v0,v5_pair_084,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_native_strong_ice_v1,v5_pair_085,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_native_strong_ice_v1,v5_pair_085,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_native_strong_ice_v2,v5_pair_086,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_native_strong_ice_v2,v5_pair_086,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_087,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_087,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_088,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_088,control,False,,,,3000,0,True
positive_0p20_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_089,positive,False,,,,3000,0,True
control_0p20_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_089,control,False,,,,3000,0,True
positive_0p20_right_early_loading_native_strong_ice_v0,v5_pair_090,positive,True,1367,1.3679999999999048,fallen_base_height,1367,1633,True
control_0p20_right_early_loading_native_strong_ice_v0,v5_pair_090,control,False,,,,3000,0,True
positive_0p20_right_early_loading_native_strong_ice_v1,v5_pair_091,positive,True,1287,1.2879999999999137,fallen_base_height,1287,1713,True
