run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,target_foot_patch_contact,target_foot_physical_slip,target_first,valid_pre_fall_duration_s,maximum_target_anchor_drift_m,source_valid,failure_reason,failed_attempt_preserved,development_only
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_024,positive,0.1,right,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,0,right,923,0.9239999999999536,1056,1.056999999999939,134,5,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.0919676125049591,True,,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_025,positive,0.1,right,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,1,right,37,0.03800000000000003,192,0.19300000000000014,156,0,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.11361555755138397,True,,True,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_026,positive,0.1,right,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,2,right,1558,1.5589999999998838,1696,1.6969999999998686,139,8,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.09678032249212265,True,,True,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_027,positive,0.1,right,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,right,824,0.8249999999999645,993,0.9939999999999459,170,2,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.08062253147363663,True,,True,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_028,positive,0.1,right,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,right,1814,1.8149999999998556,1970,1.9709999999998384,157,8,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06694620847702026,True,,True,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_029,positive,0.1,right,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,right,372,0.3730000000000003,559,0.5599999999999937,188,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.07851283252239227,True,,True,True
positive_0p10_right_mid_late_stance_native_strong_ice_v0,v5_pair_030,positive,0.1,right,mid_late_stance,mid_late_stance,native_strong_ice,native_strong_ice,near_slip_non_event,0,right,199,0.20000000000000015,477,0.47800000000000037,279,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.07534132897853851,True,,True,True
positive_0p10_right_mid_late_stance_native_strong_ice_v1,v5_pair_031,positive,0.1,right,mid_late_stance,mid_late_stance,native_strong_ice,native_strong_ice,hard_normal,1,right,635,0.6359999999999854,911,0.911999999999955,277,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06739190965890884,True,,True,True
positive_0p10_right_mid_late_stance_native_strong_ice_v2,v5_pair_032,positive,0.1,right,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.051994577050209045,False,NO_PHYSICAL_ONSET,True,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_033,positive,0.1,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.051083844155073166,False,NO_PHYSICAL_ONSET,True,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_034,positive,0.1,right,mid_late_stance,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,right,633,0.6339999999999856,953,0.9539999999999503,321,2,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06153862550854683,True,,True,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_035,positive,0.1,right,mid_late_stance,mid_late_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,right,368,0.36900000000000027,685,0.6859999999999798,318,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06737171858549118,True,,True,True
positive_0p15_left_early_loading_native_strong_ice_v0,v5_pair_036,positive,0.15,left,early_loading,early_loading,native_strong_ice,native_strong_ice,hard_normal,0,left,37,0.03800000000000003,139,0.1400000000000001,103,0,False,True,False,False,False,True,1636,fallen_base_height,1364,False,False,False,True,True,True,1.636,0.14339342713356018,True,,True,True
positive_0p15_left_early_loading_native_strong_ice_v1,v5_pair_037,positive,0.15,left,early_loading,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,1,left,308,0.3090000000000002,369,0.3700000000000003,62,1,False,True,False,False,False,True,1495,fallen_base_height,1505,False,False,False,True,True,True,1.495,0.21751418709754944,True,,True,True
positive_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,positive,0.15,left,early_loading,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,2,left,44,0.04500000000000003,233,0.23400000000000018,190,0,False,False,False,False,False,True,1825,fallen_base_height,1175,False,False,False,True,True,True,1.825,0.22652462124824524,False,OTHER_WITH_EVIDENCE,True,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v0,v5_pair_039,positive,0.15,left,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,left,1038,1.038999999999941,1106,1.1069999999999336,69,17,False,True,False,False,False,True,2321,fallen_base_height,679,False,False,False,True,True,True,2.321,0.11372499912977219,True,,True,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v1,v5_pair_040,positive,0.15,left,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,left,305,0.3060000000000002,384,0.3850000000000003,80,1,False,True,False,False,False,True,2072,fallen_base_height,928,False,False,False,True,True,True,2.072,0.12047525495290756,True,,True,True
positive_0p15_left_early_loading_moderate_ice_preregistered_v2,v5_pair_041,positive,0.15,left,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,left,1138,1.13899999999993,1231,1.2319999999999198,94,19,False,True,False,False,False,True,2415,fallen_base_height,585,False,False,False,True,True,True,2.415,0.08922292292118073,True,,True,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_042,positive,0.15,left,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,0,left,542,0.5429999999999956,692,0.6929999999999791,151,7,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.09291602671146393,True,,True,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_043,positive,0.15,left,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,1,left,304,0.3050000000000002,442,0.44300000000000034,139,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.09115509688854218,True,,True,True
positive_0p15_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_044,positive,0.15,left,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,2,left,44,0.04500000000000003,234,0.23500000000000018,191,0,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.099685899913311,True,,True,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_045,positive,0.15,left,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,left,555,0.5559999999999942,778,0.7789999999999696,224,2,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.0702221542596817,True,,True,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_046,positive,0.15,left,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,left,2722,2.7230000000000767,2898,2.8990000000001355,177,12,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06167978793382645,True,,True,True
positive_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_047,positive,0.15,left,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,left,1870,1.8709999999998495,2046,2.046999999999851,177,7,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.09344680607318878,True,,True,True
positive_0p15_left_mid_late_stance_native_strong_ice_v0,v5_pair_048,positive,0.15,left,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.03760285675525665,False,NO_PHYSICAL_ONSET,True,True
positive_0p15_left_mid_late_stance_native_strong_ice_v1,v5_pair_049,positive,0.15,left,mid_late_stance,mid_late_stance,native_strong_ice,native_strong_ice,near_slip_non_event,1,left,304,0.3050000000000002,567,0.5679999999999928,264,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.061622537672519684,True,,True,True
positive_0p15_left_mid_late_stance_native_strong_ice_v2,v5_pair_050,positive,0.15,left,mid_late_stance,mid_late_stance,native_strong_ice,native_strong_ice,hard_normal,2,left,679,0.6799999999999805,949,0.9499999999999508,271,7,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.06646145135164261,True,,True,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_051,positive,0.15,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.028019564226269722,False,NO_PHYSICAL_ONSET,True,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_052,positive,0.15,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.031242407858371735,False,NO_PHYSICAL_ONSET,True,True
positive_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_053,positive,0.15,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,True,False,False,3.0,0.03568510711193085,False,NO_PHYSICAL_ONSET,True,True
positive_0p15_right_early_loading_native_strong_ice_v0,v5_pair_054,positive,0.15,right,early_loading,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,0,right,207,0.20800000000000016,282,0.2830000000000002,76,1,False,True,False,False,False,True,1399,fallen_base_height,1601,False,False,False,True,True,True,1.399,0.1160479336977005,True,,True,True
positive_0p15_right_early_loading_native_strong_ice_v1,v5_pair_055,positive,0.15,right,early_loading,early_loading,native_strong_ice,native_strong_ice,hard_normal,1,right,584,0.584999999999991,642,0.6429999999999846,59,12,False,True,False,False,False,True,1299,fallen_base_height,1701,False,False,False,True,True,True,1.299,0.13480670750141144,True,,True,True
positive_0p15_right_early_loading_native_strong_ice_v2,v5_pair_056,positive,0.15,right,early_loading,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,2,right,371,0.3720000000000003,444,0.44500000000000034,74,4,False,True,False,False,False,True,1514,fallen_base_height,1486,False,False,False,True,True,True,1.514,0.11574132740497589,True,,True,True
