sample,foot,runtime_episode_id,actionable_score,normal_score,early_score,active_score,persistence,owner_foot,simultaneous_candidate_count,reconciliation_rule,candidate_id,evaluation_scope,outer_fold,run_id,speed_mps,physical_episode_id,physical_event_present,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,too_early_activation,cross_foot_ownership_violation
2493,0,99,0.9995414018630981,0.0,4.627124932294325e-30,0.0004585960996337235,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p10_left_early_loading_v1_M1,0.1,82,False,False,False,True,True,False,False
2494,1,52,0.9999657869338989,0.0,2.280167777906831e-38,3.4240267268614843e-05,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p10_left_early_loading_v1_M1,0.1,52,False,False,False,True,True,False,False
1602,0,57,0.9995487332344055,1.7444131093769227e-15,5.6506920670384986e-11,0.0004512002633418888,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p15_left_early_loading_v1_M1,0.15,52,False,False,False,False,False,False,False
2038,1,12,0.9999107122421265,4.039912890096035e-23,2.2338620102830638e-38,8.926101872930303e-05,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p15_left_early_loading_v1_M1,0.15,12,False,False,False,True,True,False,False
1604,0,67,0.9977961778640747,6.934394605195848e-07,0.0013445219956338406,0.0008587151532992721,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p20_left_early_loading_v1_M1,0.2,59,False,False,False,False,False,False,False
2041,1,12,0.9964131712913513,6.330038260191964e-23,0.0,0.0035868065897375345,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p20_left_early_loading_v1_M1,0.2,12,False,False,False,True,True,False,False
1869,1,95,0.9996941089630127,1.9751792801180436e-23,1.917941445852417e-14,0.00030592820257879794,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p20_right_early_loading_v1_M1,0.2,92,False,False,False,True,True,False,False
1900,1,96,0.9970314502716064,1.4004428976477357e-06,0.0022549324203282595,0.0007121816743165255,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,1,positive_0p20_right_early_loading_v1_M1,0.2,93,False,False,False,True,True,False,False
2084,0,5,0.991588294506073,2.9802946533095753e-34,0.0002865093993023038,0.008125116117298603,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_2of3_0p10_v02,0.1,3,False,False,False,True,True,False,False
2860,0,8,0.9999990463256836,0.0,9.052388079538318e-43,9.52769767081918e-07,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_2of3_0p10_v02,0.1,6,False,False,False,True,True,False,False
2084,0,3,0.9953981041908264,1.0084289381272229e-34,0.0005638248985633254,0.004038078710436821,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,0.1,3,False,False,False,True,True,False,False
2812,1,15,0.9999997615814209,0.0,0.0,2.8896911885567533e-07,5,1,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,0.1,14,False,False,False,True,True,False,False
2904,0,5,0.9904962778091431,1.9254140681823628e-07,0.002565542468801141,0.006938072852790356,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_3of4_stronger_v2_0p10_v02,0.1,5,False,False,False,True,True,False,False
2055,0,4,0.9984136819839478,3.7247914480217963e-41,0.0011781505309045315,0.0004080706858076155,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,0.1,3,False,False,False,True,True,False,False
2302,0,5,0.9996100068092346,0.0,1.1108305393824417e-25,0.00039004668360576034,5,0,1,highest_actionable_score_then_left,R1_seed_202608231,OUT_OF_FOLD_ONCE,2,sand_solref_interpolation_5of6_stronger_v2_0p10_v02,0.1,4,False,False,False,True,True,False,False
