candidate_id,evaluation_scope,outer_fold,config_id,threshold,persistence_ms,actionable_margin,hysteresis,actionable_episode_count,actionable_episode_detected,actionable_episode_recall,affected_foot_accuracy,crossing_count,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,normal_run_fp,normal_contact_episode_fp,too_early_activation,air_firing,touchdown_transient_firing,invalid_firing,postfall_firing,latch_carryover,cross_foot_ownership_violation,worst_speed_recall,safety_total,selected
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.99_p5_m0.00_h0.05,0.99,5,0.0,0.05,353,5,0.014164305949008499,1.0,36,10.0,26.299999999999994,0.0,214.39999999999995,0,31,0,0,0,30,30,0,0,0.0,91,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.99_p3_m0.10_h0.05,0.99,3,0.1,0.05,353,5,0.014164305949008499,1.0,43,12.0,28.299999999999994,0.0,212.79999999999995,0,38,0,0,0,34,34,0,0,0.0,106,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.99_p3_m0.00_h0.05,0.99,3,0.0,0.05,353,5,0.014164305949008499,1.0,43,12.0,28.299999999999994,0.0,212.79999999999995,0,38,0,0,0,34,34,0,0,0.0,106,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.95_p5_m0.10_h0.05,0.95,5,0.1,0.05,353,6,0.0169971671388102,1.0,54,9.0,25.4,0.0,25.5,0,45,3,0,0,34,34,0,0,0.008928571428571428,116,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.95_p5_m0.00_h0.05,0.95,5,0.0,0.05,353,6,0.0169971671388102,1.0,54,9.0,25.4,0.0,25.5,0,45,3,0,0,34,34,0,0,0.008928571428571428,116,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.95_p3_m0.10_h0.05,0.95,3,0.1,0.05,353,11,0.031161473087818695,1.0,71,13.0,45.69999999999999,0.0,76.5,0,57,3,0,0,39,39,0,1,0.024193548387096774,139,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.95_p3_m0.00_h0.05,0.95,3,0.0,0.05,353,11,0.031161473087818695,1.0,71,13.0,45.69999999999999,0.0,76.5,0,57,3,0,0,39,39,0,1,0.024193548387096774,139,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.85_p5_m0.10_h0.05,0.85,5,0.1,0.05,353,28,0.07932011331444759,1.0,123,21.0,50.05,0.0,117.6,10,91,4,0,0,47,47,0,1,0.0625,200,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.85_p5_m0.00_h0.05,0.85,5,0.0,0.05,353,28,0.07932011331444759,1.0,123,21.0,50.05,0.0,117.6,10,91,4,0,0,47,47,0,1,0.0625,200,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.85_p3_m0.10_h0.05,0.85,3,0.1,0.05,353,52,0.14730878186968838,1.0,199,28.5,56.949999999999996,0.0,81.09999999999984,12,140,7,0,0,55,55,0,1,0.11607142857142858,270,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.85_p3_m0.00_h0.05,0.85,3,0.0,0.05,353,52,0.14730878186968838,1.0,199,28.5,56.949999999999996,0.0,81.09999999999984,12,140,7,0,0,55,55,0,1,0.11607142857142858,270,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.70_p5_m0.10_h0.05,0.7,5,0.1,0.05,353,105,0.29745042492917845,1.0,288,28.0,73.0,0.0,100.39999999999995,20,174,8,0,0,55,55,0,6,0.28225806451612906,318,False
R1_seed_202608231,INNER_TRAIN_CONFIG,2,t0.70_p5_m0.00_h0.05,0.7,5,0.0,0.05,353,105,0.29745042492917845,1.0,288,28.0,73.0,0.0,100.39999999999995,20,174,8,0,0,55,55,0,6,0.28225806451612906,318,False
